DateTime,Depth_m,Temp_C,Chla_ugL,Turbidity_NTU,Cond_uScm,SpCond_uScm,DO_mgL,DOsat_percent,pH,ORP_mV,PAR_umolm2s,DescRate_ms,Flag,Reservoir,Site,SN,CDOM_ugL,Phycoerythrin_ugL,Phycocyanin_ugL
2025-02-10T12:23:34Z,0.041,5.7747,5.9252,3.0993,21.366979,34.731,12.31,98.267,7.469,271.8732,191.1,1.6484e-10,0,FCR,50,7809,NA,NA,NA
2025-02-10T12:23:34Z,0.041,5.7742000000000004,5.9412,3.1035,21.366412,34.729,12.3046,98.244,7.471,272.0811,187.56,1.8132e-9,0,FCR,50,7809,NA,NA,NA
2025-02-10T12:23:34Z,0.04,5.7708,6.0221,3.0699,21.36641,34.721,12.3083,98.229,7.471,272.4073,183.16,1.9946e-8,0,FCR,50,7809,NA,NA,NA
2025-02-10T12:23:34Z,0.04,5.7624,6.1787,3.0693,21.366963,34.71,12.3093,98.25,7.471,272.6335,186.3,3.6567e-8,0,FCR,50,7809,NA,NA,NA
2025-02-10T12:23:34Z,0.04,5.7561,6.2791,3.13,21.373103,34.708,12.3058,98.304,7.472,272.2349,194.52,1.9946e-8,0,FCR,50,7809,NA,NA,NA
2025-02-10T12:23:34Z,0.04,5.7583,6.3038,3.1546,21.377256,34.706,12.304,98.355,7.474,271.4593,194.88,1.8132e-9,0,FCR,50,7809,NA,NA,NA
2025-02-10T12:23:34Z,0.04,5.7658,6.3523,3.0935,21.353769,34.663,12.2966,98.385,7.476,271.1713,192.05,1.6484e-10,0,FCR,50,7809,NA,NA,NA
2025-02-10T12:23:34Z,0.04,5.7772,6.4159,3.0068,21.34275,34.642,12.2961,98.395,7.48,271.3341,201.23,1.4986e-11,0,FCR,50,7809,NA,NA,NA
2025-02-10T12:23:34Z,0.04,5.7896,6.4405,3.0285,21.370844,34.686,12.3019,98.39,7.482,271.4484,214.38,1.3634e-12,0,FCR,50,7809,NA,NA,NA
2025-02-10T12:23:34Z,0.04,5.7977,6.4417,3.1511,21.376418,34.692,12.3056,98.354,7.483,271.6071,218.69,1.3597e-13,0,FCR,50,7809,NA,NA,NA
2025-02-10T12:23:34Z,0.04,5.8016,6.3465,3.1573,21.346738,34.64,12.3088,98.273,7.485,271.9624,215.33,1.446e-13,0,FCR,50,7809,NA,NA,NA
2025-02-10T12:23:34Z,0.04,5.8032,6.1552,3.0685,21.32903,34.609,12.3083,98.184,7.486,272.217,208.72,1.4678e-12,0,FCR,50,7809,NA,NA,NA
2025-02-10T12:23:34Z,0.04,5.8044,6.0513,3.0338,21.352531,34.647,12.3082,98.131,7.486,272.0184,204.47,1.6134e-11,0,FCR,50,7809,NA,NA,NA
