Date,Depth_m,Temp_C,Chla_ugL,Turb_NTU,Cond_uScm,Spec_Cond_uScm,DO_mgL,DO_pSat,PAR,Salinity,Descent Rate (m/s),Flag,CDOM_ugL,Phycoerythrin,Phycocyanin
2022-07-14T10:01:20Z,13.311,11.1047,2.5716,3.0081,72.213938,100.007,6.1961,56.575,0.36781,7.879579039664967,0.078,0,3.8671,0.0426,0.0837
2022-07-14T10:01:20Z,13.329,11.1037,2.5712,3.0049,72.209387,100.003,6.221,56.427,0.36386,7.879450450354157,0.074,0,3.8718,0.0426,0.0848
2022-07-14T10:01:20Z,13.346,11.1029,2.5676,3.0064,72.1724,99.953,6.234,56.256,0.35303,7.875373440397364,0.069,0,3.8688,0.0426,0.085
2022-07-14T10:01:20Z,13.362,11.1022,2.5615,3.0093,72.172585,99.955,6.2353,56.1,0.34803,7.875690661431608,0.064,0,3.8709,0.0426,0.0834
2022-07-14T10:01:20Z,13.377,11.1016,2.5595,3.0112,72.211617,100.01,6.2245,55.959,0.34018,7.880487072167048,0.061,0,3.8692,0.0426,0.0869
2022-07-14T10:01:20Z,13.392,11.101,2.5601,3.0143,72.23847,100.048,6.2074,55.81,0.32617,7.883840280671143,0.059,0,3.8709,0.0426,0.0807
2022-07-14T10:01:20Z,13.406,11.1005,2.5615,3.0468,72.22669,100.033,6.186,55.655,0.31808,7.882671556290733,0.058,0,3.8688,0.0427,0.0912
2022-07-14T10:01:20Z,13.421,11.1,2.5647,3.107,72.204472,100.004,6.1696,55.514,0.31534,7.880313784157537,0.057,0,3.8718,0.0425,0.1636
2022-07-14T10:01:20Z,13.437,11.0997,2.5659,3.1399,72.240403,100.054,6.1554,55.386,0.30657,7.8846221358749125,0.057,0,3.8671,0.0428,0.17
2022-07-14T10:01:20Z,13.452,11.0992,2.5656,3.1434,72.255274,100.075,6.1391,55.267,0.29464,7.886510442208993,0.057,0,3.8747,0.0423,0.173
2022-07-14T10:01:20Z,13.465,11.0987,2.568,3.1543,72.248994,100.068,6.1205,55.171,0.29044,7.886021217710629,0.058,0,3.8625,0.0431,0.1599
2022-07-14T10:01:20Z,13.478,11.0984,2.5715,3.1742,72.299752,100.139,6.1055,55.084,0.2895,7.892114240248447,0.058,0,3.7867,0.0418,0.0517
2022-07-14T10:01:20Z,13.493,11.098,2.5719,3.1849,72.327836,100.179,6.0923,55.004,0.28655,7.895595467760758,0.058,0,3.7779,0.0439,0.0384
2022-07-14T10:01:20Z,13.509,11.0978,2.5704,3.1867,72.317979,100.166,6.0775,54.962,0.2876,7.894531884068106,0.059,0,3.778,0.0404,0.0418
2022-07-14T10:01:20Z,13.525,11.0974,2.5638,3.196,72.315861,100.165,6.0681,54.957,0.28164,7.894530523822179,0.061,0,3.7867,0.0461,0.0474
2022-07-14T10:01:20Z,13.54,11.097,2.5524,3.2126,72.30222,100.147,6.0597,54.971,0.26915,7.893085513534741,0.063,0,3.8625,0.0821,0.1212
2022-07-14T10:01:20Z,13.555,11.0968,2.5466,3.2218,72.288327,100.129,6.0473,54.918,0.26013,7.891597684875645,0.066,0,3.8746,0.0862,0.1294
2022-07-14T10:01:20Z,13.571,11.0964,2.5457,3.2248,72.283171,100.124,6.0451,54.749,0.24864,7.891256535679367,0.069,0,3.8672,0.0862,0.1269
2022-07-14T10:01:20Z,13.588,11.096,2.5464,3.2452,72.239877,100.066,6.0433,54.591,0.24559,7.886413540907051,0.073,0,3.8716,0.082,0.1243
2022-07-14T10:01:20Z,13.608,11.0954,2.5494,3.2819,71.764867,99.41,6.0481,54.476,0.25614,7.830837274363169,0.076,0,3.8691,0.0462,0.0877
2022-07-14T10:01:20Z,13.63,11.0949,2.5511,3.3019,66.404581,91.985,6.0504,54.366,0.26826,7.2028812783530265,0.076,0,3.8704,0.0404,0.0827
2022-07-14T10:01:20Z,13.653,11.0943,2.5501,3.3049,7.293851,10.075,6.0182,54.269,0.27095,0.6910094015774283,0.074,0,3.87,0.044,0.0858
2022-07-14T10:01:20Z,13.673,11.0935,2.5442,3.3182,-642.937602,-890.976,6.0034,54.177,0.26145,NA,0.071,0,3.8696,0.0418,0.0838
2022-07-14T10:01:20Z,13.69,11.0925,2.5353,3.3425,-1239,-1716.974,5.9941,54.133,0.24528,NA,0.066,0,3.8709,0.0432,0.0851
2022-07-14T10:01:20Z,13.704,11.0915,2.5322,3.3556,-642.890771,-891.045,5.9785,54.167,0.22885,NA,0.06,0,3.8684,0.0422,0.0843
2022-07-14T10:01:20Z,13.718,11.0907,2.5327,3.3535,7.238759,10.02,5.9716,54.211,0.21753,0.6871346994695411,0.053,0,3.8727,0.0431,0.0847
2022-07-14T10:01:20Z,13.731,11.0899,2.5308,3.3204,66.360761,91.936,5.958,54.197,0.21384,7.199714851956573,0.047,0,3.8656,0.0421,0.0845
2022-07-14T10:01:20Z,13.743,11.0892,2.5284,3.2608,71.739802,99.39,5.9528,54.166,0.21582,7.830437681158203,0.043,0,3.8774,0.0433,0.0846
2022-07-14T10:01:20Z,13.754,11.0886,2.5281,3.2289,72.276255,100.134,5.9585,54.151,0.22029,7.89375054177104,0.044,0,3.9535,0.0415,0.0845
2022-07-14T10:01:20Z,13.761,11.088,2.5294,3.2303,72.305805,100.176,5.9683,54.149,0.22322,7.897446256893322,0.052,0,3.9618,0.0444,0.0846
2022-07-14T10:01:20Z,13.766,11.0874,2.5315,3.2761,72.232373,100.077,5.9628,54.173,0.22201,7.889163375695969,0.065,0,3.9625,0.0399,0.0846
