
Advanced Calibration Data
,Temperature,Cal Date, Tm, Tzs, Tb
,Pressure,Cal Date,m2,m1,m0,b2,b1,b0,Linear(a),Linear(b)
,Temperature,unknown,0.000000,0.00,0.000000
,Pressure,4-Jun-12 14:50:11,0.000004,-0.000244,1.003512,-0.000072,0.004134,0.037016,0.000000,1.000000

Field Calibration Data
,Temperature,Cal Date,m,b
,Pressure,Cal Date,m,b
,Temperature(degC),unknown,1.000000,0.00
,Pressure(psi),unknown,1.000000,0.00

Sensor/Session information
SensorSN, 21204020 ,,Modbus Addr., 2 
Sensor Type,PT2X,,Initialized w/fw Rev,"2. 7"
Sensor Name,Barometric Pressure (2),,Uploaded,"Aqua4Plus 1.9.6"
Session Name,FCR_BV_20220627,,Exported,"Aqua4Plus 1.9.6"
# Records,  2019 
Statistical Data,,Temperature(degC),Pressure(psi),
,Sensor Range,-40 - +125 degC,15 psia,
,Minimum,14.50,13.819,
,Maximum,35.56,14.027,
,Mean,24.88,13.926,
,Variance,24.873,0.0019,
,Std Deviation,4.987,0.0431,
,,,,
,Field Cal Date,unknown,unknown,
Rec #,Date/Time,Temperature(degC),Pressure(psi)
319,30-Jun-22 18:08:46,32.25,13.964
320,30-Jun-22 18:23:46,31.25,13.964
321,30-Jun-22 18:38:46,31.19,13.964
322,30-Jun-22 18:53:46,31.63,13.962
323,30-Jun-22 19:08:46,30.88,13.964
324,30-Jun-22 19:23:46,30.75,13.966
325,30-Jun-22 19:38:46,30.19,13.966
326,30-Jun-22 19:53:46,29.69,13.967
327,30-Jun-22 20:08:46,28.94,13.970
328,30-Jun-22 20:23:46,28.19,13.974
329,30-Jun-22 20:38:46,27.63,13.973
330,30-Jun-22 20:53:46,27.25,13.978
331,30-Jun-22 21:08:46,26.75,13.979
332,30-Jun-22 21:23:46,26.25,13.981
333,30-Jun-22 21:38:46,25.88,13.982
334,30-Jun-22 21:53:46,25.69,13.983
335,30-Jun-22 22:08:46,25.31,13.983
336,30-Jun-22 22:23:46,24.81,13.987
337,30-Jun-22 22:38:46,24.50,13.986
338,30-Jun-22 22:53:46,24.19,13.986
339,30-Jun-22 23:08:46,23.88,13.986
340,30-Jun-22 23:23:46,23.56,13.985
341,30-Jun-22 23:38:46,23.31,13.984
342,30-Jun-22 23:53:46,23.13,13.983
343,1-Jul-22 00:08:46,22.94,13.982
344,1-Jul-22 00:23:46,22.75,13.982
345,1-Jul-22 00:38:46,22.56,13.981
346,1-Jul-22 00:53:46,22.50,13.982
347,1-Jul-22 01:08:46,22.38,13.983
348,1-Jul-22 01:23:46,22.31,13.983
349,1-Jul-22 01:38:46,22.19,13.983
350,1-Jul-22 01:53:46,22.06,13.981
351,1-Jul-22 02:08:46,21.81,13.981
352,1-Jul-22 02:23:46,21.56,13.979
353,1-Jul-22 02:38:46,21.38,13.975
354,1-Jul-22 02:53:46,21.19,13.976
355,1-Jul-22 03:08:46,21.06,13.974
356,1-Jul-22 03:23:46,20.88,13.973
357,1-Jul-22 03:38:46,20.63,13.971
358,1-Jul-22 03:53:46,20.44,13.971
359,1-Jul-22 04:08:46,20.25,13.971
360,1-Jul-22 04:23:46,20.06,13.969
361,1-Jul-22 04:38:46,19.94,13.969
362,1-Jul-22 04:53:46,19.88,13.969
363,1-Jul-22 05:08:46,19.75,13.969
364,1-Jul-22 05:23:46,19.56,13.970
365,1-Jul-22 05:38:46,19.50,13.972
366,1-Jul-22 05:53:46,19.44,13.972
367,1-Jul-22 06:08:46,19.38,13.972
368,1-Jul-22 06:23:46,19.38,13.972
369,1-Jul-22 06:38:46,19.44,13.972
370,1-Jul-22 06:53:46,19.63,13.973
371,1-Jul-22 07:08:46,19.75,13.972
372,1-Jul-22 07:23:46,20.06,13.974
373,1-Jul-22 07:38:46,20.44,13.974
374,1-Jul-22 07:53:46,20.88,13.974
375,1-Jul-22 08:08:46,21.38,13.974
376,1-Jul-22 08:23:46,22.56,13.973
377,1-Jul-22 08:38:46,24.88,13.972
378,1-Jul-22 08:53:46,26.75,13.971
379,1-Jul-22 09:08:46,28.50,13.970
380,1-Jul-22 09:23:46,29.63,13.970
381,1-Jul-22 09:38:46,30.56,13.967
382,1-Jul-22 09:53:46,31.25,13.966
383,1-Jul-22 10:08:46,31.94,13.967
384,1-Jul-22 10:23:46,32.63,13.966
385,1-Jul-22 10:38:46,33.13,13.967
386,1-Jul-22 10:53:46,33.56,13.966
387,1-Jul-22 11:08:46,33.56,13.965
388,1-Jul-22 11:23:46,33.50,13.964
389,1-Jul-22 11:38:46,33.88,13.962
390,1-Jul-22 11:53:46,34.13,13.960
391,1-Jul-22 12:08:46,34.31,13.957
392,1-Jul-22 12:23:46,34.31,13.955
393,1-Jul-22 12:38:46,34.13,13.952
394,1-Jul-22 12:53:46,34.31,13.947
395,1-Jul-22 13:08:46,34.38,13.944
396,1-Jul-22 13:23:46,34.44,13.940
397,1-Jul-22 13:38:46,34.50,13.937
398,1-Jul-22 13:53:46,34.63,13.932
399,1-Jul-22 14:08:46,34.63,13.931
400,1-Jul-22 14:23:46,34.63,13.928
401,1-Jul-22 14:38:46,34.63,13.927
402,1-Jul-22 14:53:46,34.75,13.924
