"","Reservoir","Site","DateTime","Depth_m","Chla_ugL","Pheo_ugL","Flag_DateTime","Flag_Chla_ugL","Flag_Pheo_ugL"
"263","FCR",50,2015-08-24 12:00:00,5,69.2,15.2,1,0,0
"264","FCR",50,2015-08-24 12:00:00,3.8,27.4,30.7,1,0,0
"265","CCR",50,2015-08-26 12:00:00,0.1,0.6,1.1,1,4,0
"266","CCR",50,2015-08-26 12:00:00,6,1.2,1.3,1,0,0
"267","CCR",50,2015-08-26 12:00:00,20,1,2.5,1,4,0
"268","SHR",50,2015-08-26 12:00:00,0.1,1.2,NA,1,2,2
"269","GWR",50,2015-08-30 12:00:00,0.1,2.9,1.3,1,0,0
"270","GWR",50,2015-08-30 12:00:00,12,10.1,2.4,1,0,0
"271","GWR",50,2015-08-30 12:00:00,5,2.9,2.9,1,0,0
"272","GWR",50,2015-08-30 12:00:00,9,7.2,3.2,1,0,0
"273","BVR",50,2015-09-04 12:00:00,0.1,6.9,1,1,0,0
"274","BVR",50,2015-09-04 12:00:00,3,5.2,1,1,0,0
"275","BVR",50,2015-09-04 12:00:00,9,28.8,2.1,1,0,4
"276","BVR",50,2015-09-04 12:00:00,6,6.3,4.4,1,0,0
"277","BVR",50,2015-09-04 12:00:00,12,26.9,6.3,1,0,0
"278","FCR",50,2015-09-07 12:00:00,1.6,15.4,2.6,1,0,0
"279","FCR",50,2015-09-07 12:00:00,9,8.6,3.8,1,0,0
"280","FCR",50,2015-09-07 12:00:00,5,28.8,4.4,1,0,0
"281","FCR",50,2015-09-07 12:00:00,3.8,32.7,10.2,1,0,0
"282","FCR",50,2015-09-07 12:00:00,6.2,40.3,16.4,1,0,0
"283","CCR",50,2015-09-09 12:00:00,0.1,1.2,0.1,1,0,4
"284","CCR",50,2015-09-09 12:00:00,6,1.2,0.9,1,0,0
"285","CCR",50,2015-09-09 12:00:00,19,2.9,2,1,0,0
"286","SHR",50,2015-09-09 12:00:00,8,1.2,6.3,1,2,2
"287","FCR",50,2015-09-14 12:00:00,3.8,13.4,0,1,0,4
"288","FCR",50,2015-09-14 12:00:00,9,5.1,1.3,1,0,4
"289","FCR",50,2015-09-14 12:00:00,6.2,20.2,6.8,1,0,0
"290","FCR",50,2015-09-14 12:00:00,1.6,14.4,8.4,1,0,0
"291","FCR",50,2015-09-14 12:00:00,5,28.8,12.7,1,0,0
"292","GWR",50,2015-09-17 12:00:00,0.1,3.5,0,1,0,4
"293","GWR",50,2015-09-17 12:00:00,12,11.5,4,1,0,0
"294","GWR",50,2015-09-17 12:00:00,8,11.5,6.5,1,0,0
"295","BVR",50,2015-09-18 12:00:00,3,4,1.8,1,0,0
"296","BVR",50,2015-09-18 12:00:00,0.1,2.3,2.3,1,0,0
"297","BVR",50,2015-09-18 12:00:00,12,32.7,3.3,1,0,0
"298","BVR",50,2015-09-18 12:00:00,9,25,5.5,1,0,0
"299","BVR",50,2015-09-18 12:00:00,6,6.3,5.7,1,0,0
"300","FCR",50,2015-09-21 12:00:00,3.8,6.7,1.6,1,0,0
"301","FCR",50,2015-09-21 12:00:00,1.6,6.7,3,1,0,0
"302","FCR",50,2015-09-21 12:00:00,6.2,23.1,7,1,0,0
"303","FCR",50,2015-09-21 12:00:00,9,13,11.9,1,0,0
"304","FCR",50,2015-09-21 12:00:00,5,57.6,15,1,0,0
"305","CCR",50,2015-09-23 12:00:00,0.1,1.7,0,1,0,4
"306","CCR",50,2015-09-23 12:00:00,6,2.9,0.4,1,0,4
