"Reservoir","Site","DateTime","Depth_m","Chla_ugL","Pheo_ugL","Flag_Chla_ugL","Flag_Pheo_ugL"
"CCR",50,2015-08-26 12:00:00,20,1,2.5,4,0
"SHR",50,2015-08-26 12:00:00,0.1,1.2,NA,2,2
"GWR",50,2015-08-30 12:00:00,0.1,2.9,1.3,0,0
"GWR",50,2015-08-30 12:00:00,12,10.1,2.4,0,0
"GWR",50,2015-08-30 12:00:00,5,2.9,2.9,0,0
"GWR",50,2015-08-30 12:00:00,9,7.2,3.2,0,0
"BVR",50,2015-09-04 12:00:00,0.1,6.9,1,0,0
"BVR",50,2015-09-04 12:00:00,3,5.2,1,0,0
"BVR",50,2015-09-04 12:00:00,9,28.8,2.1,0,4
"BVR",50,2015-09-04 12:00:00,6,6.3,4.4,0,0
"BVR",50,2015-09-04 12:00:00,12,26.9,6.3,0,0
"FCR",50,2015-09-07 12:00:00,1.6,15.4,2.6,0,0
"FCR",50,2015-09-07 12:00:00,9,8.6,3.8,0,0
"FCR",50,2015-09-07 12:00:00,5,28.8,4.4,0,0
"FCR",50,2015-09-07 12:00:00,3.8,32.7,10.2,0,0
"FCR",50,2015-09-07 12:00:00,6.2,40.3,16.4,0,0
"CCR",50,2015-09-09 12:00:00,0.1,1.2,0.1,0,4
"CCR",50,2015-09-09 12:00:00,6,1.2,0.9,0,0
"CCR",50,2015-09-09 12:00:00,19,2.9,2,0,0
"SHR",50,2015-09-09 12:00:00,8,1.2,6.3,2,2
"FCR",50,2015-09-14 12:00:00,3.8,13.4,0,0,4
"FCR",50,2015-09-14 12:00:00,9,5.1,1.3,0,4
"FCR",50,2015-09-14 12:00:00,6.2,20.2,6.8,0,0
"FCR",50,2015-09-14 12:00:00,1.6,14.4,8.4,0,0
"FCR",50,2015-09-14 12:00:00,5,28.8,12.7,0,0
"GWR",50,2015-09-17 12:00:00,0.1,3.5,0,0,4
"GWR",50,2015-09-17 12:00:00,12,11.5,4,0,0
"GWR",50,2015-09-17 12:00:00,8,11.5,6.5,0,0
"BVR",50,2015-09-18 12:00:00,3,4,1.8,0,0
"BVR",50,2015-09-18 12:00:00,0.1,2.3,2.3,0,0
"BVR",50,2015-09-18 12:00:00,12,32.7,3.3,0,0
"BVR",50,2015-09-18 12:00:00,9,25,5.5,0,0
"BVR",50,2015-09-18 12:00:00,6,6.3,5.7,0,0
"FCR",50,2015-09-21 12:00:00,3.8,6.7,1.6,0,0
"FCR",50,2015-09-21 12:00:00,1.6,6.7,3,0,0
"FCR",50,2015-09-21 12:00:00,6.2,23.1,7,0,0
"FCR",50,2015-09-21 12:00:00,9,13,11.9,0,0
"FCR",50,2015-09-21 12:00:00,5,57.6,15,0,0
"CCR",50,2015-09-23 12:00:00,0.1,1.7,0,0,4
"CCR",50,2015-09-23 12:00:00,6,2.9,0.4,0,4
"CCR",50,2015-09-23 12:00:00,19,1,0.4,4,4
"FCR",50,2015-09-28 12:00:00,9,8.6,1.7,0,0
"FCR",50,2015-09-28 12:00:00,6.2,11.5,3,0,4
"FCR",50,2015-09-28 12:00:00,1.6,11.5,3.7,0,0
"FCR",50,2015-09-28 12:00:00,5,8.1,5.2,0,0
"FCR",50,2015-09-28 12:00:00,3.8,0,20.1,4,0
"BVR",50,2015-10-02 12:00:00,12,11.5,0,0,4
"BVR",50,2015-10-02 12:00:00,6,2.9,0,0,4
"BVR",50,2015-10-02 12:00:00,3,10.6,1.2,0,0
"BVR",50,2015-10-02 12:00:00,9,13,2.6,0,0
"BVR",50,2015-10-02 12:00:00,0.1,4.6,12.4,0,0
"FCR",50,2015-10-05 12:00:00,3.8,3.5,3.6,0,0
"FCR",50,2015-10-05 12:00:00,5,6.7,3.7,0,0
"FCR",50,2015-10-05 12:00:00,9,3.5,4,0,0
"FCR",50,2015-10-05 12:00:00,6.2,5.8,5.3,0,0
"FCR",50,2015-10-05 12:00:00,1.6,7.7,6.1,0,0
"FCR",50,2015-10-19 12:00:00,1.6,2.3,0,0,4
"FCR",50,2015-10-19 12:00:00,3.8,2.9,0,0,4
"FCR",50,2015-10-19 12:00:00,6.2,1.7,0,0,4
"FCR",50,2015-10-19 12:00:00,5,2.9,0,0,4
"FCR",50,2015-10-19 12:00:00,9,1.7,0,0,4
"BVR",50,2015-10-23 12:00:00,12,34.6,0,0,4
"BVR",50,2015-10-23 12:00:00,9,19.2,0,0,4
"BVR",50,2015-10-23 12:00:00,0.1,3.5,0,0,4
"BVR",50,2015-10-23 12:00:00,6,5.2,0,0,4
"BVR",50,2015-10-23 12:00:00,3,2.3,0,0,4
"CCR",50,2015-10-28 12:00:00,20,0,0,4,4
"CCR",50,2015-10-28 12:00:00,0.1,6.3,0,0,4
"CCR",50,2015-10-28 12:00:00,6,5.8,0.9,0,0
"FCR",50,2015-11-09 12:00:00,5,10.1,0,0,4
"FCR",50,2015-11-09 12:00:00,6.2,2.9,0,0,4
"FCR",50,2015-11-09 12:00:00,9,3.5,0,0,4
"FCR",50,2015-11-09 12:00:00,3.8,4.3,0,0,4
"FCR",50,2015-11-09 12:00:00,1.6,4.9,0.4,0,4
"BVR",50,2016-04-20 12:00:00,6,3.9,2.9,0,0
"FCR",50,2016-04-25 12:00:00,3.8,2.1,0.4,1,1
"FCR",50,2016-04-25 12:00:00,5,3.5,2,1,1
"FCR",50,2016-05-02 12:00:00,1.6,3.5,0,1,1
"FCR",50,2016-05-02 12:00:00,6.2,4.8,2.6,0,0
"BVR",50,2016-05-04 12:00:00,7,8.3,1.7,0,0
"FCR",50,2016-05-09 12:00:00,3.8,4.2,2.3,0,0
