Reservoir,Site,Date,Depth_m,Rep,NH4_ugL,PO4_ugL,NO3NO2_ugL,DIC_mgL,DC_mgL,DOC_mgL,DN_mgL,TP_ugL,TN_ugL
BVR,50,9/23/2024,6,1,70.9,5.94,2.84,4.83,8.43,3.59,0.28,30.1,418
BVR,50,9/23/2024,0.1,1,10.2,2.87,-2.48,2.332846473,10.81511886,8.482272388,NA,14.6,469
BVR,50,9/23/2024,10,1,3810,17.2,1.75,7.844952543,12.2671066,4.422154058,5.21296623,NA,NA
BVR,50,9/23/2024,3,1,19.2,6.25,1.5,3.176060265,10.32487425,7.148813983,0.450222199,17.7,466
BVR,50,9/23/2024,5,1,19.4,5.82,4.21,3.338524642,10.30487305,6.966348403,0.463475283,NA,NA
BVR,50,9/23/2024,7.5,1,2150,9.53,0.792,5.425258797,10.26428436,4.83902556,NA,NA,NA
BVR,50,9/23/2024,9,1,3100,15.9,1.71,5.422086577,10.87463734,5.452550766,NA,19.9,1893
FCR,100,9/23/2024,0.1,1,6.73,21.1,12.9,5.291552533,7.419976489,2.128423956,NA,123,628
FCR,50,9/23/2024,0.1,1,15.4,2.37,-1.29,4.287338039,9.094567345,4.807229306,NA,20.6,384
FCR,50,9/23/2024,1.6,1,12.3,1.92,-2.54,3.497928343,10.35536577,6.85743743,NA,22.6,247
FCR,50,9/23/2024,3.8,1,22.2,4.58,0.726,4.952717483,9.621755019,4.669037536,0.369527016,54.3,531
FCR,50,9/23/2024,5,1,210,4.61,1.47,5.373604727,9.570982733,4.197378006,0.47722381,32.3,602
FCR,50,9/23/2024,6.2,1,1330,1.31,43.7,5.152446036,10.49224304,5.339797007,NA,32.7,1682
FCR,50,9/23/2024,8,1,1350,1.55,48.7,6.298072569,9.206137246,2.908064677,NA,34.5,1376
FCR,50,9/23/2024,9,1,1610,3.51,59.5,7.048127906,9.817664243,2.769536336,2.012042476,26.8,1908
CCR,100,9/30/2024,0.1,1,4.6,6.7,26.3,2.218927776,5.511676239,3.292748463,0.120262207,NA,NA
CCR,101,9/30/2024,0.1,1,1.1,7,21.1,2.134965948,5.930076852,3.795110904,0.164336522,10.4,123
CCR,101,9/30/2024,0.1,2,6.42,4.03,16.6,2.3,6.45,4.15,0.15,NA,NA
CCR,50,9/30/2024,0.1,1,27.8,6.56,3.76,12.86618347,15.52543424,2.659250761,0.220593238,9.48,196
CCR,50,9/30/2024,1.5,1,5.66,5.47,-1.09,12.34724916,16.33904273,3.991793573,0.226325082,14.2,220
CCR,50,9/30/2024,20,1,493,6.51,66.9,17.57709526,19.78456348,2.207468222,0.727569469,21.7,651
CCR,50,9/30/2024,6,1,8.4,7,6.1,11.52176698,15.30968042,3.787913443,0.230810067,9.66,171
CCR,50,9/30/2024,9,1,13.4,2.39,79.2,12.31487731,15.71466716,3.399789855,0.485457536,11.3,244
CCR,88,9/30/2024,0.1,1,10.28292298,5.654922969,0.315766464,12.5155855,16.07304368,3.557458181,0.198996533,NA,NA
CCR,88,9/30/2024,1.5,1,6.4,4.8,0.1,11.54036436,14.71304607,3.172681702,0.21361487,NA,NA
CCR,88,9/30/2024,6,1,4,-0.4,7.1,10.62770074,14.00374554,3.376044799,0.188429267,NA,NA
CCR,88,9/30/2024,9,1,5.286086473,4.26018028,99.56696519,13.00724221,15.70515298,2.697910771,0.232469587,NA,NA
CCR,88,9/30/2024,11,1,10,6.3,125.1,13.69207006,16.81126036,3.119190301,0.32027887,NA,NA
CCR,90,9/30/2024,0.1,1,1.4,7.3,0.3,11.8365398,15.31848737,3.48194757,0.194607248,NA,NA
CCR,90,9/30/2024,1.5,1,9.3,9.6,-0.7,12.92431338,15.19994397,2.275630588,0.220074389,NA,NA
CCR,90,9/30/2024,4,1,4.9,6.7,0.4,12.71007713,14.45868665,1.748609526,0.152936879,NA,NA
CCR,92,9/30/2024,0.1,1,3.4,1.4,-1.4,11.43710468,14.94820377,3.51109909,0.219501362,NA,NA
CCR,92,9/30/2024,0.6,1,3.033172061,6.337510834,0.743304774,12.09327933,15.64164181,3.548362477,0.209357819,NA,NA
CCR,96,9/30/2024,0.1,2,6.83,8.82,19.9,1.913213301,5.623285291,3.710071989,0.142954198,NA,NA
CCR,96,9/30/2024,0.1,1,-0.023394461,6.782696024,25.3647392,2.794893492,6.962491439,4.167597947,0.191878598,NA,NA
CCR,98,9/30/2024,0.1,1,3.5,8,18.8,2.126685691,6.540215766,4.413530075,0.16551382,NA,NA
FCR,100,10/1/2024,0.1,1,10.1,20.6,2.14,4.167425965,7.624750257,3.457324291,0.165566483,23.8,109
FCR,20,10/1/2024,0.1,1,14.2,2.9,0.1,4.495810614,10.08835627,5.592545651,0.330769257,30.9,364
FCR,50,10/1/2024,6.2,1,936,4.78,21.5,NA,NA,3.134026528,1.023636821,32.8,1150
FCR,50,10/1/2024,0.1,1,24.6,6.46,1.97,4.628738814,10.34949111,5.720752301,0.37441951,33.4,381
FCR,50,10/1/2024,1.6,1,16.7,7.49,1.83,4.61,10.47,5.86,0.33,26,399
FCR,50,10/1/2024,3.8,1,60.4,5.5,10.2,4.888768702,10.30212958,5.413360874,0.437701556,23.6,365
FCR,50,10/1/2024,5,1,175,5.81,3.46,6.072079988,10.01169818,3.939618188,0.448317835,50.1,520
FCR,50,10/1/2024,8,1,1590,1.66,53.2,5.47921962,10.8024246,5.323204978,NA,18,2202
FCR,50,10/1/2024,9,1,1680,1.14,53.7,6.61166921,9.379802611,2.768133402,NA,25,1944
BVR,50,10/7/2024,0.1,1,14.6,3.8,0.5,3.171487625,8.793587421,5.622099797,0.41079601,17.5,456
BVR,50,10/7/2024,3,1,13.1,0.165,-3.22,2.50772242,8.306005423,5.798283003,NA,20.9,423
BVR,50,10/7/2024,6,1,22.8,6.36,2.42,6.280459975,9.346866684,3.066406709,0.227273113,37.4,463
BVR,50,10/7/2024,9,1,3080,19.2,3.7,7.189323829,11.87081127,4.681487439,4.077915353,20.9,2886
FCR,100,10/7/2024,0.1,1,12.9,20.3,0.427,3.146835298,8.018343312,4.871508014,0.07206208,26.4,193
FCR,50,10/7/2024,0.1,1,17.7,4.94,-0.744,4.14,10.39,6.25,0.3,38.3,565
FCR,50,10/7/2024,1.6,1,13.2,2.84,-1.35,4.39050251,9.84574374,5.455241229,NA,25.6,434
FCR,50,10/7/2024,3.8,1,35.4,3.8,1.9,4.788187209,9.152403143,4.364215934,0.332274462,57.3,482
FCR,50,10/7/2024,5,1,518,7.58,1.03,6.406993364,10.13916402,3.732170652,0.745433172,31.1,953
FCR,50,10/7/2024,6.2,1,1180,4.86,39.7,6.704672514,9.840742554,3.13607004,1.518581832,28.6,1362
FCR,50,10/7/2024,8,1,1360,2.16,42.2,6.504335617,9.419369082,2.915033464,NA,23.7,2019
FCR,50,10/7/2024,9,1,1800,3.3,64.5,7.987073121,10.31981768,2.332744555,2.612284323,31.9,1980
FCR,100,10/15/2024,0.1,1,15.8,20.8,1.35,4.925165044,7.083140732,2.157975688,0.178472035,109,558
FCR,20,10/15/2024,0.1,1,11.8,4.43,-2.07,4.895827436,10.75258269,5.85675525,0.322341477,35.1,427
FCR,50,10/15/2024,9,1,1760,7.02,56.1,8.26,10.19,1.93,2.19,24.1,2631
FCR,50,10/15/2024,0.1,1,19.9,2.83,0.365,4.46407603,10.21430508,5.750229051,NA,35.5,565
FCR,50,10/15/2024,1.6,1,27.4,8.58,1.92,4.88668664,11.13774367,6.251057032,0.339986262,35.9,459
FCR,50,10/15/2024,3.8,1,29.2,6.92,2.81,4.963656518,11.44610043,6.482443914,0.473478609,32.4,481
FCR,50,10/15/2024,5,1,608,5.5,4.8,6.669652782,10.38955932,3.71990654,1.039783711,33.2,805
FCR,50,10/15/2024,6.2,1,1110,4.5,35.3,6.604077593,10.24148467,3.637407072,1.527721124,21.5,1450
FCR,50,10/15/2024,8,1,1770,7.41,62.1,6.501094671,9.630203836,3.129109165,NA,24.7,2466
BVR,50,10/21/2024,10,1,4260,14.5,4.59,7.120666818,12.2215935,5.100926684,4.667855355,-4.11,4660
BVR,50,10/21/2024,3,1,37.4,2.79,2.06,NA,NA,3.522616842,0.244468066,14.8,418
BVR,50,10/21/2024,7.5,1,397,20.9,3.38,4.46,8.4,3.94,0.87,NA,NA
BVR,50,10/21/2024,0.1,1,34.2,2.8,-0.421,3.633366812,8.644788453,5.011421641,NA,14,400
BVR,50,10/21/2024,6,1,71.8,6.98,-2.15,3.087593527,9.110482183,6.022888656,NA,11.3,526
FCR,100,10/21/2024,0.1,1,4.9,18.5,-1.43,3.592844839,7.457762274,3.864917435,NA,31.3,113
FCR,50,10/21/2024,6.2,1,185,8.01,9.71,6.141823236,10.7344507,4.592627465,0.079810687,31.1,691
FCR,50,10/21/2024,0.1,1,16.5,3.01,-0.764,3.723545653,10.69856473,6.975019075,NA,28.3,561
FCR,50,10/21/2024,1.6,1,20.1,3.19,-2.17,4.395193531,9.950273144,5.555079613,NA,36.5,588
FCR,50,10/21/2024,3.8,1,18.2,2.14,-0.984,3.670734329,11.14958509,7.478850764,NA,35.5,466
FCR,50,10/21/2024,5,1,48.1,-0.794,-0.206,4.224346806,9.74328826,5.518941454,NA,37.1,521
FCR,50,10/21/2024,8,1,1130,2,44.3,5.766499072,9.823558008,4.057058935,NA,29.9,1680
FCR,50,10/21/2024,9,1,1340,3.03,52.4,5.500072743,10.40266195,4.902589206,NA,29.6,1660
CCR,100,10/28/2024,0.1,1,-0.5,7.4,15.9,5.388553152,6.668809074,1.280255921,0.082493972,NA,NA
CCR,101,10/28/2024,0.1,1,3.6,5.7,0.3,5.25144195,6.650018028,1.398576078,0.074745252,6.37,81.2
CCR,50,10/28/2024,0.1,1,15,5.27,13.6,13.56609836,17.271067,3.704968644,0.198368677,9.86,277
CCR,50,10/28/2024,1.5,1,14.2,6.15,9.86,13.81,17.12,3.31,0.38,12.2,248
CCR,50,10/28/2024,20,1,343,6.72,107,16.02,18.67,2.64,0.6,20.7,517
CCR,50,10/28/2024,6,1,8.09,5.15,12,15.38000531,18.91354889,3.533543582,0.056705364,11.1,296
CCR,50,10/28/2024,9,1,9.18,4.44,30.4,15.05774932,18.26041331,3.202663992,0.058295317,8.46,203
CCR,88,10/28/2024,0.1,1,5.903187389,2.568883424,11.05818069,15.02146843,18.51612449,3.49465606,0.241349624,NA,NA
CCR,88,10/28/2024,1.5,1,3.4,4.5,9.7,14.01925515,17.98383283,3.964577678,0.253324273,NA,NA
CCR,88,10/28/2024,6,1,5.7,1.2,11.5,14.9365274,17.68184555,2.745318153,0.194985876,NA,NA
CCR,88,10/28/2024,6,2,6.75,5.5,7.33,13.88224137,16.97342297,3.091181598,0.218549214,NA,NA
CCR,88,10/28/2024,9,1,3.928258695,4.319528003,35.11423075,14.81530714,18.01180244,3.1964953,0.246209814,NA,NA
CCR,88,10/28/2024,11,1,8.6,7,84,13.84325011,16.98640019,3.143150083,0.28100119,NA,NA
CCR,90,10/28/2024,0.1,1,4.267742164,6.663978492,2.049538813,14.81440812,18.99579331,4.18138519,0.281663442,NA,NA
CCR,90,10/28/2024,1.5,1,7,10.5,1.5,13.29119297,16.46932858,3.178135613,0.209074458,NA,NA
CCR,90,10/28/2024,4,1,4.4,4.8,-0.3,14.6397786,18.57116881,3.931390217,0.254383681,NA,NA
CCR,92,10/28/2024,0.1,1,3.7,6.8,0.5,14.22044272,17.34261772,3.122175,0.192330721,NA,NA
CCR,92,10/28/2024,0.1,2,15.5,6.54,NA,15.6013904,19.3857518,3.784361401,0.059987268,NA,NA
CCR,92,10/28/2024,0.5,1,4.60720795,4.853669626,5.928887565,14.47888398,18.51500711,4.036123127,0.271228271,NA,NA
CCR,96,10/28/2024,0.1,1,3.187506111,7.791838551,0.16878511,14.69250889,18.4544228,3.761913906,0.226234965,NA,NA
CCR,98,10/28/2024,0.1,1,7.4,6.2,59.3,3.707869741,4.795143984,1.087274243,0.124163661,NA,NA
FCR,100,10/29/2024,0.1,1,11.6,23.8,1.87,5.622934489,7.378992014,1.756057525,0.107062332,27.2,109
FCR,20,10/29/2024,0.1,1,9.2,12.3,-1.48,4.956167207,11.46608898,6.50992177,0.438813695,43.8,765
FCR,50,10/29/2024,5,1,172,6.2,16.7,6.692837532,11.15214168,4.459304148,0.411505034,34.6,736
FCR,50,10/29/2024,0.1,1,35.9,4.54,-1.94,3.955846093,12.40742097,8.451574881,NA,39.7,744
FCR,50,10/29/2024,1.6,1,22.8,3.08,0.818,4.022021307,10.97477614,6.952754829,NA,34,660
FCR,50,10/29/2024,3.8,1,111,4.98,9.16,4.83930438,12.19227282,7.352968441,NA,36.9,734
FCR,50,10/29/2024,6.2,1,320,2.3,19.9,3.347583512,10.76378988,7.416206373,NA,34.9,993
FCR,50,10/29/2024,8,1,268,2.25,17,5.041775808,10.47210842,5.430332608,NA,26.8,801
FCR,50,10/29/2024,9,1,399,2.63,24,4.408447786,11.1386935,6.730245717,NA,37.1,891
BVR,50,11/4/2024,0.1,1,13.4,6.65,0.401,3.76,8.54,4.78,0.44,18.3,503
BVR,50,11/4/2024,10,1,4410,14,3.89,8.46326592,13.11543635,4.652170431,5.566298729,-0.882,4040
BVR,50,11/4/2024,3,1,9.83,3.61,1.99,NA,NA,3.830554174,0.259769939,21.2,427
BVR,50,11/4/2024,6,1,24.4,1.05,3.33,3.71,8.93,5.21,0.51,22.1,349
BVR,50,11/4/2024,7.5,1,1780,34.2,11.8,5.110462523,10.3675368,5.257074275,NA,NA,NA
FCR,100,11/4/2024,0.1,1,11.3,22.6,3.16,5.08,6.59,1.51,0.08,27.6,142
FCR,50,11/4/2024,1.6,1,10.2,6.29,-0.79,6.072541455,12.17856407,6.106022619,0.269649802,39.3,686
FCR,50,11/4/2024,6.2,1,232,8.26,16.2,5.18,10.77,5.59,0.47,54.4,985
FCR,50,11/4/2024,8,1,264,5.96,16,NA,NA,4.674663226,0.515419984,31.7,933
FCR,50,11/4/2024,0.1,1,8.85,2.79,-1.16,3.810302576,11.58733747,7.77703489,NA,37.9,655
FCR,50,11/4/2024,3.8,1,18.5,3.79,1.05,3.809848582,12.12980296,8.319954381,NA,32.8,591
FCR,50,11/4/2024,5,1,177,2.63,13.4,4.019235534,11.10835815,7.089122612,NA,38.2,754
FCR,50,11/4/2024,9,1,282,4.61,17.4,4.140217665,11.10942254,6.969204879,NA,45.6,1090
BVR,50,11/19/2024,0.1,1,141,2.03,1.28,NA,NA,3.955357409,0.383908637,28.2,597
BVR,50,11/19/2024,10,1,184,3.49,2.22,NA,NA,3.855691221,0.374394193,23.7,605
BVR,50,11/19/2024,6,1,158,4.39,4.13,NA,NA,3.629201118,0.373417377,9.47,398
BVR,50,11/19/2024,8,1,159,3.73,3.01,NA,NA,3.8975863,0.385351586,NA,NA
BVR,50,11/19/2024,3,1,163,1.81,-0.0529,3.005594306,9.434755747,6.42916144,NA,16.3,350
FCR,100,11/19/2024,0.1,1,10.9,18.2,-0.25,NA,NA,2.852983474,0.160561809,28.7,120
FCR,50,11/19/2024,0.1,1,16.8,5.64,-4.52,NA,NA,5.355533864,0.302365801,48.5,697
FCR,50,11/19/2024,1.6,1,9.03,5.11,1.6,NA,NA,5.340541009,0.228115247,47.8,587
FCR,50,11/19/2024,3.8,1,20.9,4.22,0.391,NA,NA,5.212684534,0.289803751,38.8,447
FCR,50,11/19/2024,5,1,25.4,3.99,4.78,NA,NA,4.867788122,0.286193941,40.5,599
FCR,50,11/19/2024,6.2,1,41.9,5.31,6.13,NA,NA,5.634143176,0.344373719,36.7,539
FCR,50,11/19/2024,8,1,34.7,6.16,6.31,NA,NA,4.619063655,0.293589054,40.4,646
FCR,50,11/19/2024,9,1,38.3,5.36,7.45,NA,NA,5.228260006,0.383245375,35.5,702
BVR,50,12/3/2024,0.1,1,171,2.22,5.66,NA,NA,3.745849146,0.358760843,17.2,487
BVR,50,12/3/2024,3,1,161,3.58,3.18,NA,NA,3.587116339,0.346077304,14.7,579
BVR,50,12/3/2024,9,1,176,3.11,4.44,NA,NA,3.45041146,0.369208595,16.5,495
BVR,50,12/3/2024,6,1,171,4.28,2.44,3.578728153,8.657985764,5.079257611,NA,20.8,639
FCR,100,12/3/2024,0.1,1,7.24,14.6,0.322,3.834031002,5.344906372,1.51087537,0.097476531,24,61.5
FCR,50,12/3/2024,0.1,1,16.7,17.9,2.29,5.595022206,11.03720871,5.442186507,0.315306791,36,514
FCR,50,12/3/2024,1.6,1,11.1,5.44,1.81,NA,NA,4.974382615,0.274949652,36.2,527
FCR,50,12/3/2024,3.8,1,11.8,7.21,-0.158,NA,NA,4.679921769,0.321095268,28.9,278
FCR,50,12/3/2024,5,1,5.01,13.4,0.962,NA,NA,4.62700167,0.383006794,40.1,455
FCR,50,12/3/2024,6.2,1,11.3,5.68,2.67,NA,NA,4.423322595,0.246581989,45,614
FCR,50,12/3/2024,8,1,15.9,4.8,-0.506,NA,NA,4.29157894,0.236951895,47.1,556
FCR,50,12/3/2024,9,1,14.2,6.36,-0.115,NA,NA,5.457886966,0.359486715,32.4,477
CCR,100,12/17/2024,0.1,1,4.29,-0.881,3.17,1.977718592,5.343284325,3.365565734,0.103393177,NA,NA
CCR,101,12/17/2024,0.1,2,10.2,5.2,4.92,NA,NA,3.852723312,0.199047494,NA,NA
CCR,101,12/17/2024,0.1,1,4.72,-1.92,5.15,NA,NA,3.678054273,0.180076088,2.82,142
CCR,50,12/17/2024,0.1,1,11.2,4.83,29.6,NA,NA,2.841483846,0.197820829,14,300
CCR,50,12/17/2024,1.5,1,14.4,2.36,32,NA,NA,3.51451306,0.280109126,11.3,234
CCR,50,12/17/2024,20,1,50.9,1.38,84.7,13.11722713,15.99580529,2.878578158,0.283715161,12.7,347
CCR,50,12/17/2024,6,1,16,0.0741,32.8,NA,NA,2.902323798,0.197304093,9.21,205
CCR,50,12/17/2024,9,1,10.4,2.04,34,NA,NA,3.822462395,0.317385643,9.08,227
CCR,88,12/17/2024,0.1,1,11.9,3.95,32.6,NA,NA,3.042485694,0.22545481,NA,NA
CCR,88,12/17/2024,0.1,2,12.4,-1.09,31.3,NA,NA,3.678278024,0.293900072,NA,NA
CCR,88,12/17/2024,1.5,1,13.3,-1.11,33.2,NA,NA,3.671602822,0.266227151,NA,NA
CCR,88,12/17/2024,6,1,13.4,1.3,30.4,NA,NA,3.407709823,0.342054596,NA,NA
CCR,88,12/17/2024,6,2,13.5,3.2,28.7,NA,NA,3.65436803,0.237629719,NA,NA
CCR,88,12/17/2024,9,1,15.4,-1.24,31.2,10.91557961,14.11260914,3.197029534,0.253697684,NA,NA
CCR,88,12/17/2024,11,1,15.4,-1.22,32.3,NA,NA,3.721889346,0.306416607,NA,NA
CCR,90,12/17/2024,0.1,1,10.2,5.36,29.5,NA,NA,3.705688223,0.232009247,NA,NA
CCR,90,12/17/2024,0.1,2,9.7,1,27.7,13.16488424,16.05915121,2.894266971,0.243929267,NA,NA
CCR,90,12/17/2024,1.5,2,14.3,1.22,28,NA,NA,3.24270007,0.218240066,NA,NA
CCR,90,12/17/2024,1.5,1,11.5,1.84,27.3,NA,NA,3.221532031,0.227979971,NA,NA
CCR,90,12/17/2024,4,1,10.9,2.93,29.7,NA,NA,3.345407935,0.286435666,NA,NA
CCR,92,12/17/2024,0.1,2,25.3,1.21,8.79,NA,NA,3.637781797,0.199001979,NA,NA
CCR,92,12/17/2024,0.1,1,24.6,1.96,5.98,NA,NA,NA,NA,NA,NA
CCR,96,12/17/2024,0.1,1,6.47,3.27,6.06,NA,NA,3.687669906,0.197497675,NA,NA
CCR,96,12/17/2024,0.1,2,3.9,0.5,2.9,2.830378073,6.405655079,3.575277006,0.155932631,NA,NA
CCR,98,12/17/2024,0.1,1,5.25,-3.6,2.61,NA,NA,3.707203901,0.173604792,NA,NA
CCR,98,12/17/2024,0.1,2,6.86,4.55,3.5,NA,NA,3.319875215,0.195378344,NA,NA
FCR,100,1/27/2025,0.1,1,83.6,3.79,36.3,3.759952807,7.38922582,3.629273013,0.404924972,16,410
FCR,50,1/27/2025,0.1,1,32.8,6.56,26.2,NA,NA,3.435702625,0.403998798,22.6,454
FCR,50,1/27/2025,0.1,2,29,5.35,27.3,3.696768464,8.239178259,4.542409795,0.396945642,21.2,368
FCR,50,1/27/2025,1.6,1,36.8,6.13,24.9,3.957131531,8.386243821,4.42911229,0.496225868,27.4,362
FCR,50,1/27/2025,3.8,1,21.5,3.93,23,4.414673323,8.566290998,4.151617675,0.308738772,25.6,435
FCR,50,1/27/2025,5,1,22.1,3.74,23,3.905385734,7.713094466,3.801172421,0.297231168,29.8,458
FCR,50,1/27/2025,6.2,1,50.4,4.44,26,3.962033765,7.992086488,4.030052723,0.370619284,26.6,460
FCR,50,1/27/2025,8,1,141,3.35,24.1,NA,NA,3.282390145,0.371102466,34,631
FCR,50,1/27/2025,9,1,326,8.85,22.2,4.279044863,8.061293811,3.782248948,0.660806318,30.1,748
CCR,100,2/26/2025,0.1,2,4.68,-1.33,16.7,NA,NA,2.464134318,0.136820937,NA,NA
CCR,100,2/26/2025,0.1,1,5.79,0.87,15.1,NA,NA,2.160350851,0.145865297,NA,NA
CCR,101,2/26/2025,0.1,1,9.29,-1.04,16.4,NA,NA,2.634872653,0.153817243,0.9,93
CCR,101,2/26/2025,0.1,2,8.2,3.7,18,NA,NA,2.834231865,0.196982467,NA,NA
CCR,50,2/26/2025,0.1,1,10.3,2.06,92.1,NA,NA,3.21384265,0.256446964,13.4,277
CCR,50,2/26/2025,1.5,1,12.1,-7.18,94.2,NA,NA,3.389112345,0.346887979,11,297
CCR,50,2/26/2025,20,1,11.2,-1.23,96.3,NA,NA,3.175667945,0.277671524,12,308
CCR,50,2/26/2025,6,1,7.8,1.63,94,NA,NA,3.013482507,0.241414622,1.32,296
CCR,50,2/26/2025,9,1,7.54,1.58,95.7,NA,NA,3.671639249,0.274410086,4.54,291
CCR,88,2/26/2025,0.1,1,8.28,7.24,89.1,NA,NA,3.221619185,0.29557803,NA,NA
CCR,88,2/26/2025,1.5,1,11.2,-20.3,91,NA,NA,3.89271085,0.30233259,NA,NA
CCR,88,2/26/2025,1.5,2,5.2,4.9,94.3,NA,NA,3.581335447,0.269014433,NA,NA
CCR,88,2/26/2025,6,1,12.1,-0.809,85.4,NA,NA,4.461674146,0.403770865,NA,NA
CCR,88,2/26/2025,9,1,12.7,1.94,94.7,8.63604104,11.81254701,3.176505966,0.286320656,NA,NA
CCR,88,2/26/2025,9,2,15.6,0.417,96.1,NA,NA,3.305763189,0.278302814,NA,NA
CCR,88,2/26/2025,12,1,8.99,-0.341,93.1,NA,NA,3.080726665,0.251702381,NA,NA
CCR,90,2/26/2025,0.1,1,8.06,-2.54,84,10.42372218,13.09720794,2.673485763,0.202293434,NA,NA
CCR,90,2/26/2025,1.5,1,7.94,-1.19,89.9,NA,NA,3.569694733,0.279517435,NA,NA
CCR,90,2/26/2025,1.5,2,9.8,6.1,89.9,14.07081952,16.76652899,2.695709476,0.308956193,NA,NA
CCR,90,2/26/2025,5,1,10.6,1.36,90.4,NA,NA,3.628881527,0.287664562,NA,NA
CCR,90,2/26/2025,5,2,7.2,0.6,91.5,11.66279673,15.43466927,3.771872537,0.337857049,NA,NA
CCR,92,2/26/2025,0.1,1,11.1,0.18,88.4,NA,NA,3.618201203,0.276695526,NA,NA
CCR,92,2/26/2025,2,1,14.6,3.31,90.9,12.5077161,15.67139596,3.163679859,0.267105129,NA,NA
CCR,96,2/26/2025,0.1,2,8.48,1.26,22.8,2.625358103,5.921273611,3.295915508,0.137101772,NA,NA
CCR,96,2/26/2025,0.1,1,6.91,2.57,22,2.993025614,5.240014022,2.246988408,0.110504008,NA,NA
CCR,96,2/26/2025,1.7,1,13.2,0.52,81.9,12.38624965,15.59461909,3.208369437,0.249518036,NA,NA
CCR,98,2/26/2025,0.1,1,1.73,-0.881,16.7,1.779995175,3.584445086,1.804449911,0.162451069,NA,NA
CCR,98,2/26/2025,0.1,2,5.1,1,14.8,NA,NA,2.727150308,0.152513294,NA,NA
CCR,98,2/26/2025,1,2,10.4,2.34,32.8,NA,NA,2.854558057,0.19131,NA,NA
CCR,98,2/26/2025,1,1,8.25,1.85,32.9,NA,NA,NA,NA,NA,NA
CCR,100,4/16/2025,0.1,2,6.3,2.3,4,NA,NA,2.701983675,0.143250756,NA,NA
CCR,100,4/16/2025,0.1,1,7.4,1.6,1.4,NA,NA,2.677310505,0.143070901,NA,NA
CCR,101,4/16/2025,0.1,2,4.8,20.3,1.6,2.553614546,4.529446046,1.9758315,0.135604977,NA,NA
CCR,101,4/16/2025,0.1,1,3.6,2.9,0,2.576428026,4.670368963,2.093940937,0.116517471,-1.14,66.8
CCR,50,4/16/2025,0.1,1,8.8,0,-5.5,14.07562236,16.43770885,2.362086498,0.206940485,9.1,245
CCR,50,4/16/2025,1.5,1,11,9,0.7,NA,NA,3.711116321,0.205300765,7.86,241
CCR,50,4/16/2025,20,1,72.5,-3.4,87,12.91813845,16.51342038,3.595281929,0.33338173,14.7,370
CCR,50,4/16/2025,6,1,6.3,0,1.2,NA,NA,3.859155339,0.202602939,6.56,203
CCR,50,4/16/2025,9,1,16.2,4.6,54.8,12.27335748,16.20117941,3.927821926,0.264041244,9.27,211
CCR,88,4/16/2025,0.1,1,6.5,2.1,1.4,13.30716831,16.69965969,3.392491376,0.211954999,NA,NA
CCR,88,4/16/2025,1.5,1,9.4,-2.1,-1,13.25493745,16.39128719,3.136349736,0.175397573,NA,NA
CCR,88,4/16/2025,6,2,7,-2.5,1.8,NA,NA,3.86359651,0.198870945,NA,NA
CCR,88,4/16/2025,6,1,5.6,-0.4,-0.6,13.61394958,16.98095288,3.367003308,0.188446094,NA,NA
CCR,88,4/16/2025,9,1,14,1.1,58.9,13.88891204,16.47860413,2.589692095,0.255737639,NA,NA
CCR,88,4/16/2025,12,1,33.4,-0.1,77.9,11.85791202,15.02847968,3.170567668,0.327612343,NA,NA
CCR,90,4/16/2025,0.1,1,7.9,4.6,-5.3,11.89693507,14.32607565,2.429140582,0.196803618,NA,NA
CCR,90,4/16/2025,1.5,1,5.3,-2.2,-2.3,12.0782422,15.42582705,3.347584848,0.231312103,NA,NA
CCR,90,4/16/2025,5.5,1,7.4,-2.7,2.3,10.96038171,13.41532676,2.454945056,0.191789104,NA,NA
CCR,90,4/16/2025,5.5,2,9.7,3.3,-1.3,11.94496345,14.40178718,2.456823732,0.209959978,NA,NA
CCR,92,4/16/2025,0.1,1,3.7,0.4,-6.1,11.95697055,14.24815357,2.291183026,0.179765053,NA,NA
CCR,92,4/16/2025,0.1,2,6.4,1.9,2,11.59795842,14.4233401,2.825381678,0.187152026,NA,NA
CCR,92,4/16/2025,1.8,1,8.7,-0.5,2,12.5357125,14.96382093,2.428108438,0.186289314,NA,NA
CCR,96,4/16/2025,0.1,1,7.5,3.18,-4.2,12.98477783,15.45843274,2.473654913,0.199607432,NA,NA
CCR,96,4/16/2025,0.9,1,4.7,-0.4,0.3,NA,NA,3.327201798,0.16712652,NA,NA
CCR,96,4/16/2025,0.9,2,7,0,-4.5,9.024838087,12.29678565,3.271947563,0.159113882,NA,NA
CCR,98,4/16/2025,0.1,1,5.7,-1.8,0.5,2.395721255,3.876226878,1.480505623,0.102228802,NA,NA
CCR,98,4/16/2025,0.8,1,5.7,1.2,-0.4,3.429532085,5.626434243,2.196902159,0.155501275,NA,NA
BVR,50,6/3/2023,5,1,NA,NA,NA,5.077992214,8.513432689,3.435440476,1.003294798,NA,NA
SUNP,Harbor,7/3/2024,0.1,1,NA,NA,NA,1.89,6.33,4.44,0.23,6.03,181
SUNP,Harbor,7/10/2024,0.1,1,NA,NA,NA,1.66,6.16,4.49,0.21,9.14,314
CCR,92,2/26/2025,0.1,2,NA,NA,NA,NA,NA,3.014854837,0.230046413,NA,NA
