Initials,DateFiltered,FilterID,PanMass_g,FilterMassPre_g,FilterMassPost_g,FilterVol_L,VolDiscarded_L,SedMass_g,Duration_days,Notes,,,,,,,,,,,,,,,,
"CEW, EMT, GKH",28Sep23,F_sed_4m_R1_F3_25Sep23,1.028,0.11,0.116,0.15,1.105,0.006,13,,,,,,,,,,,,,,,,,
"CEW, EMT, GKH",28Sep23,F_sed_4m_R1_F4_25Sep23,1.036,0.109,0.115,0.151,1.105,0.006,13,,,,,,,,,,,,,,,,,
"CEW, EMT, GKH",28Sep23,F_sed_4m_R2_F1_25Sep23,1.011,0.11,0.12,0.15,1.2,0.01,13,,,,,,,,,,,,,,,,,
"CEW, EMT, GKH",28Sep23,F_sed_4m_R2_F2_25Sep23,0.996,0.109,0.117,0.151,1.2,0.008,13,,,,,,,,,,,,,,,,,
"CEW, EMT, GKH",28Sep23,F_sed_4m_R2_F3_25Sep23,0.999,0.109,0.116,0.15,1.2,0.007,13,,,,,,,,,,,,,,,,,
"CEW, EMT, GKH",28Sep23,F_sed_4m_R2_F4_25Sep23,1.001,0.11,0.119,0.15,1.2,0.009,13,,,,,,,,,,,,,,,,,
"CEW, EMT, GKH",28Sep23,F_sed_8m_R1_F1_25Sep23,1.002,0.11,0.131,0.8,1.32,0.021,13,,,,,,,,,,,,,,,,,
"CEW, EMT, GKH",28Sep23,F_sed_8m_R1_F2_25Sep23,0.996,0.11,0.123,0.8,1.32,0.013,13,,,,,,,,,,,,,,,,,
"CEW, EMT, GKH",28Sep23,F_sed_8m_R1_F3_25Sep23,0.996,0.111,0.132,0.8,1.32,0.021,13,,,,,,,,,,,,,,,,,
"CEW, EMT, GKH",28Sep23,F_sed_8m_R1_F4_25Sep23,0.995,0.119,0.138,0.8,1.32,0.019,13,ready to use filters,,,,,,,,,,,,,,,,
"CEW, EMT, GKH",28Sep23,F_sed_8m_R2_F1_25Sep23,1.008,0.122,0.144,0.8,1.305,0.022,13,,,,,,,,,,,,,,,,,
"CEW, EMT, GKH",28Sep23,F_sed_8m_R2_F2_25Sep23,1,0.122,0.142,0.8,1.305,0.02,13,,,,,,,,,,,,,,,,,
"CEW, EMT, GKH",28Sep23,F_sed_8m_R2_F3_25Sep23,1.001,0.122,0.142,0.81,1.305,0.02,13,,,,,,,,,,,,,,,,,
"CEW, EMT, GKH",28Sep23,F_sed_8m_R2_F4_25Sep23,1.007,0.122,0.14,0.8,1.305,0.018,13,,,,,,,,,,,,,,,,,
"CEW, EMT, GKH",28Sep23,B_sed_4m_R1_F1_26Sep23,1.023,0.121,0.127,0.15,1.14,0.006,13,,,,,,,,,,,,,,,,,
"CEW, EMT, GKH",28Sep23,B_sed_4m_R1_F2_26Sep23,1.015,0.121,0.126,0.15,1.14,0.005,13,,,,,,,,,,,,,,,,,
"CEW, EMT, GKH",28Sep23,B_sed_4m_R1_F3_26Sep23,1.024,0.122,0.127,0.15,1.14,0.005,13,,,,,,,,,,,,,,,,,
"CEW, EMT, GKH",28Sep23,B_sed_4m_R1_F4_26Sep23,1.028,0.121,0.127,0.15,1.14,0.006,13,,,,,,,,,,,,,,,,,
"CEW, EMT, GKH",28Sep23,B_sed_4m_R2_F1_26Sep23,0.996,0.122,0.128,0.15,1.155,0.006,13,,,,,,,,,,,,,,,,,
"CEW, EMT, GKH",28Sep23,B_sed_4m_R2_F2_26Sep23,1.004,0.12,0.125,0.15,1.155,0.005,13,,,,,,,,,,,,,,,,,
"CEW, EMT, GKH",28Sep23,B_sed_4m_R2_F3_26Sep23,1.004,0.121,0.127,0.15,1.155,0.006,13,,,,,,,,,,,,,,,,,
"CEW, EMT, GKH",28Sep23,B_sed_4m_R2_F4_26Sep23,1.007,0.122,0.128,0.15,1.155,0.006,13,,,,,,,,,,,,,,,,,
"CEW, EMT, GKH",28Sep23,B_sed_8m_R1_F1_26Sep23,1.024,0.121,0.135,0.1,1.33,0.014,13,Water looks super orange! Almost looks like orange gatorade,,,,,,,,,,,,,,,,
"CEW, EMT, GKH",28Sep23,B_sed_8m_R1_F2_26Sep23,1.023,0.12,0.133,0.1,1.33,0.013,13,,,,,,,,,,,,,,,,,
"CEW, EMT, GKH",28Sep23,B_sed_8m_R1_F3_26Sep23,1.017,0.122,0.136,0.1,1.33,0.014,13,,,,,,,,,,,,,,,,,
"CEW, EMT, GKH",28Sep23,B_sed_8m_R1_F4_26Sep23,1.022,0.122,0.138,0.1,1.33,0.016,13,,,,,,,,,,,,,,,,,
"CEW, EMT, GKH",28Sep23,B_sed_8m_R2_F1_26Sep23,1.021,0.121,0.135,0.1,1.355,0.014,13,,,,,,,,,,,,,,,,,
"CEW, EMT, GKH",28Sep23,B_sed_8m_R2_F2_26Sep23,1.004,0.123,0.136,0.1,1.355,0.013,13,,,,,,,,,,,,,,,,,
"CEW, EMT, GKH",28Sep23,B_sed_8m_R2_F3_26Sep23,0.993,0.122,0.136,0.1,1.355,0.014,13,,,,,,,,,,,,,,,,,
"CEW, EMT, GKH",28Sep23,B_sed_8m_R2_F4_26Sep23,1.016,0.123,0.136,0.1,1.355,0.013,13,,,,,,,,,,,,,,,,,
"CEW, EMT, GKH",12Oct23,F_sed_4m_R1_F1_09Oct23,0.986,0.12,0.127,0.15,1.19,0.007,13,,,,,,,,,,,,,,,,,
"CEW, EMT, GKH",12Oct23,F_sed_4m_R1_F2_09Oct23,0.987,0.121,0.127,0.15,1.19,0.006,13,,,,,,,,,,,,,,,,,
"CEW, EMT, GKH",12Oct23,F_sed_4m_R1_F3_09Oct23,0.996,0.123,0.128,0.15,1.19,0.005,13,,,,,,,,,,,,,,,,,
"CEW, EMT, GKH",12Oct23,F_sed_4m_R1_F4_09Oct23,0.993,0.121,0.127,0.15,1.19,0.006,13,,,,,,,,,,,,,,,,,
"CEW, EMT, GKH",12Oct23,F_sed_4m_R2_F1_09Oct23,0.997,0.122,0.128,0.15,1.14,0.006,13,"Color looks off from 4m R2, looks more orange/lighter",,,,,,,,,,,,,,,,
"CEW, EMT, GKH",12Oct23,F_sed_4m_R2_F2_09Oct23,0.988,0.123,0.13,0.15,1.14,0.007,13,,,,,,,,,,,,,,,,,
"CEW, EMT, GKH",12Oct23,F_sed_4m_R2_F3_09Oct23,0.981,0.121,0.128,0.15,1.14,0.007,13,,,,,,,,,,,,,,,,,
"CEW, EMT, GKH",12Oct23,F_sed_4m_R2_F4_09Oct23,1.01,0.122,0.129,0.15,1.14,0.007,13,,,,,,,,,,,,,,,,,
"CEW, EMT, GKH",12Oct23,F_sed_8m_R1_F1_09Oct23,1.011,0.122,0.148,0.1,1.34,0.026,13,,,,,,,,,,,,,,,,,
"CEW, EMT, GKH",12Oct23,F_sed_8m_R1_F2_09Oct23,1.001,0.122,0.15,0.1,1.34,0.028,13,,,,,,,,,,,,,,,,,
"CEW, EMT, GKH",12Oct23,F_sed_8m_R1_F3_09Oct23,1.008,0.12,0.147,0.1,1.34,0.027,13,,,,,,,,,,,,,,,,,
"CEW, EMT, GKH",12Oct23,F_sed_8m_R1_F4_09Oct23,1.015,0.121,0.15,0.1,1.34,0.029,13,,,,,,,,,,,,,,,,,
"CEW, EMT, GKH",12Oct23,F_sed_8m_R2_F1_09Oct23,0.975,0.122,0.152,0.1,1.32,0.03,13,lots of larger sediment peices ,,,,,,,,,,,,,,,,
"CEW, EMT, GKH",12Oct23,F_sed_8m_R2_F2_09Oct23,0.98,0.122,0.15,0.1,1.32,0.028,13,,,,,,,,,,,,,,,,,
"CEW, EMT, GKH",12Oct23,F_sed_8m_R2_F3_09Oct23,0.983,0.122,0.147,0.1,1.32,0.025,13,,,,,,,,,,,,,,,,,
"CEW, EMT, GKH",12Oct23,F_sed_8m_R2_F4_09Oct23,0.976,0.12,0.149,0.1,1.32,0.029,13,,,,,,,,,,,,,,,,,
"CEW, EMT, GKH",12Oct23,B_sed_4m_R1_F1_09Oct23,1.018,0.122,0.127,0.15,0.95,0.005,13,,,,,,,,,,,,,,,,,
"CEW, EMT, GKH",12Oct23,B_sed_4m_R1_F2_09Oct23,1.006,0.12,0.126,0.15,0.95,0.006,13,,,,,,,,,,,,,,,,,
"CEW, EMT, GKH",12Oct23,B_sed_4m_R1_F3_09Oct23,1.004,0.121,0.126,0.15,0.95,0.005,13,,,,,,,,,,,,,,,,,
"CEW, EMT, GKH",12Oct23,B_sed_4m_R1_F4_09Oct23,1.003,0.121,0.128,0.151,0.95,0.007,13,,,,,,,,,,,,,,,,,
"CEW, EMT, GKH",12Oct23,B_sed_4m_R2_F1_09Oct23,1.007,0.122,0.129,0.15,1.17,0.007,13,,,,,,,,,,,,,,,,,
"CEW, EMT, GKH",12Oct23,B_sed_4m_R2_F2_09Oct23,1.007,0.12,0.125,0.15,1.17,0.005,13,,,,,,,,,,,,,,,,,
"CEW, EMT, GKH",12Oct23,B_sed_4m_R2_F3_09Oct23,1.011,0.12,0.129,0.15,1.17,0.009,13,,,,,,,,,,,,,,,,,
"CEW, EMT, GKH",12Oct23,B_sed_4m_R2_F4_09Oct23,0.997,0.121,0.131,0.15,1.17,0.01,13,,,,,,,,,,,,,,,,,
"CEW, EMT, GKH",12Oct23,B_sed_8m_R1_F1_09Oct23,1.002,0.123,0.136,0.1,1.25,0.013,13,extremely orange water,,,,,,,,,,,,,,,,
"CEW, EMT, GKH",12Oct23,B_sed_8m_R1_F2_09Oct23,1.003,0.122,0.131,0.1,1.25,0.009,13,,,,,,,,,,,,,,,,,
"CEW, EMT, GKH",12Oct23,B_sed_8m_R1_F3_09Oct23,1.047,0.122,0.132,0.1,1.25,0.01,13,,,,,,,,,,,,,,,,,
"CEW, EMT, GKH",12Oct23,B_sed_8m_R1_F4_09Oct23,1.046,0.121,0.135,0.1,1.25,0.014,13,,,,,,,,,,,,,,,,,
"CEW, EMT, GKH",12Oct23,B_sed_8m_R2_F1_09Oct23,1.033,0.123,0.136,0.1,1.25,0.013,13,,,,,,,,,,,,,,,,,
"CEW, EMT, GKH",12Oct23,B_sed_8m_R2_F2_09Oct23,1.016,0.121,0.132,0.1,1.25,0.011,13,,,,,,,,,,,,,,,,,
"CEW, EMT, GKH",12Oct23,B_sed_8m_R2_F3_09Oct23,1.002,0.122,0.139,0.1,1.25,0.017,13,,,,,,,,,,,,,,,,,
"CEW, EMT, GKH",12Oct23,B_sed_8m_R2_F4_09Oct23,1.002,0.121,0.136,0.1,1.25,0.015,13,,,,,,,,,,,,,,,,,
"CEW, EMT, GKH",24Oct23,F_sed_4m_R1_F1_24Oct23,1.015,0.122,0.127,0.149,1.15,0.005,15,,,,,,,,,,,,,,,,,
"CEW, EMT, GKH",24Oct23,F_sed_4m_R1_F2_24Oct23,0.994,0.122,0.129,0.15,1.15,0.007,15,,,,,,,,,,,,,,,,,
"CEW, EMT, GKH",24Oct23,F_sed_4m_R1_F3_24Oct23,0.991,0.122,0.128,0.15,1.15,0.006,15,,,,,,,,,,,,,,,,,
"CEW, EMT, GKH",24Oct23,F_sed_4m_R1_F4_24Oct23,0.981,0.122,0.127,0.15,1.15,0.005,15,,,,,,,,,,,,,,,,,
"CEW, EMT, GKH",24Oct23,F_sed_4m_R2_F1_24Oct23,0.987,0.121,0.13,0.151,1.17,0.009,15,,,,,,,,,,,,,,,,,
"CEW, EMT, GKH",24Oct23,F_sed_4m_R2_F2_24Oct23,1.01,0.122,0.129,0.15,1.17,0.007,15,,,,,,,,,,,,,,,,,
"CEW, EMT, GKH",24Oct23,F_sed_4m_R2_F3_24Oct23,1.005,0.122,0.129,0.15,1.17,0.007,15,,,,,,,,,,,,,,,,,
"CEW, EMT, GKH",24Oct23,F_sed_4m_R2_F4_24Oct23,0.995,0.122,0.128,0.15,1.17,0.006,15,,,,,,,,,,,,,,,,,
"CEW, EMT, GKH",24Oct23,F_sed_8m_R1_F1_24Oct23,1.012,0.121,0.156,0.1,1.35,0.035,15,extra heavy,,,,,,,,,,,,,,,,
"CEW, EMT, GKH",24Oct23,F_sed_8m_R1_F2_24Oct23,1.004,0.121,0.157,0.1,1.35,0.036,15,extra heavy,,,,,,,,,,,,,,,,
"CEW, EMT, GKH",24Oct23,F_sed_8m_R1_F3_24Oct23,1.003,0.122,0.159,0.101,1.35,0.037,15,extra heavy,,,,,,,,,,,,,,,,
"CEW, EMT, GKH",24Oct23,F_sed_8m_R1_F4_24Oct23,0.99,0.12,0.154,0.1,1.35,0.034,15,extra heavy,,,,,,,,,,,,,,,,
"CEW, EMT, GKH",24Oct23,F_sed_8m_R2_F1_24Oct23,1,0.123,0.152,0.1,0.136,0.029,15,extra heavy,,,,,,,,,,,,,,,,
"CEW, EMT, GKH",24Oct23,F_sed_8m_R2_F2_24Oct23,0.969,0.121,0.153,0.1,0.136,0.032,15,extra heavy,,,,,,,,,,,,,,,,
"CEW, EMT, GKH",24Oct23,F_sed_8m_R2_F3_24Oct23,0.973,0.122,0.155,0.1,0.136,0.033,15,extra heavy,,,,,,,,,,,,,,,,
"CEW, EMT, GKH",24Oct23,F_sed_8m_R2_F4_24Oct23,1.004,0.122,0.152,0.101,0.136,0.03,15,extra heavy,,,,,,,,,,,,,,,,
"CEW, EMT, GKH",24Oct23,B_sed_4m_R1_F1_24Oct23,1.01,0.122,0.134,0.15,1.16,0.012,15,,,,,,,,,,,,,,,,,
"CEW, EMT, GKH",24Oct23,B_sed_4m_R1_F2_24Oct23,0.978,0.123,0.134,0.15,1.16,0.011,15,,,,,,,,,,,,,,,,,
"CEW, EMT, GKH",24Oct23,B_sed_4m_R1_F3_24Oct23,0.987,0.122,0.135,0.15,1.16,0.013,15,,,,,,,,,,,,,,,,,
"CEW, EMT, GKH",24Oct23,B_sed_4m_R1_F4_24Oct23,0.989,0.122,0.133,0.15,1.16,0.011,15,,,,,,,,,,,,,,,,,
"CEW, EMT, GKH",24Oct23,B_sed_4m_R2_F1_24Oct23,0.986,0.122,0.135,0.15,1.26,0.013,15,,,,,,,,,,,,,,,,,
"CEW, EMT, GKH",24Oct23,B_sed_4m_R2_F2_24Oct23,0.995,0.122,0.138,0.15,1.26,0.016,15,,,,,,,,,,,,,,,,,
"CEW, EMT, GKH",24Oct23,B_sed_4m_R2_F3_24Oct23,0.987,0.121,0.13,0.1,1.26,0.009,15,,,,,,,,,,,,,,,,,
"CEW, EMT, GKH",24Oct23,B_sed_4m_R2_F4_24Oct23,0.995,0.122,0.131,0.1,1.26,0.009,15,,,,,,,,,,,,,,,,,
"CEW, EMT, GKH",24Oct23,B_sed_8m_R1_F1_24Oct23,1.017,0.121,0.136,0.1,1.37,0.015,15,,,,,,,,,,,,,,,,,
"CEW, EMT, GKH",24Oct23,B_sed_8m_R1_F2_24Oct23,0.991,0.121,0.137,0.1,1.37,0.016,15,,,,,,,,,,,,,,,,,
"CEW, EMT, GKH",24Oct23,B_sed_8m_R1_F3_24Oct23,0.988,0.121,0.136,0.1,1.37,0.015,15,,,,,,,,,,,,,,,,,
"CEW, EMT, GKH",24Oct23,B_sed_8m_R1_F4_24Oct23,1.018,0.121,0.137,0.1,1.37,0.016,15,,,,,,,,,,,,,,,,,
"CEW, EMT, GKH",24Oct23,B_sed_8m_R2_F1_24Oct23,1.01,0.12,0.14,0.1,1.4,0.02,15,,,,,,,,,,,,,,,,,
"CEW, EMT, GKH",24Oct23,B_sed_8m_R2_F2_24Oct23,1.023,0.122,0.14,0.1,1.4,0.018,15,,,,,,,,,,,,,,,,,
"CEW, EMT, GKH",24Oct23,B_sed_8m_R2_F3_24Oct23,0.974,0.119,0.14,0.1,1.4,0.021,15,,,,,,,,,,,,,,,,,
"CEW, EMT, GKH",24Oct23,B_sed_8m_R2_F4_24Oct23,0.996,0.122,0.141,0.1,1.4,0.019,15,,,,,,,,,,,,,,,,,
"CEW, EMT, GKH",9Nov23,F_sed_4m_R1_F1_06Nov23,0.976,0.122,0.138,0.2,0.935,0.016,13,"Unsure why there wasn't a lot of discarded volume, could be because I filtered 200mL per filter",,,,,,,,,,,,,,,,
"CEW, EMT, GKH",9Nov23,F_sed_4m_R1_F2_06Nov23,1,0.122,0.138,0.2,0.935,0.016,13,,,,,,,,,,,,,,,,,
"CEW, EMT, GKH",9Nov23,F_sed_4m_R1_F3_06Nov23,0.997,0.122,0.137,0.2,0.935,0.015,13,,,,,,,,,,,,,,,,,
"CEW, EMT, GKH",9Nov23,F_sed_4m_R1_F4_06Nov23,0.997,0.122,0.137,0.2,0.935,0.015,13,,,,,,,,,,,,,,,,,
"CEW, EMT, GKH",9Nov23,F_sed_4m_R2_F1_06Nov23,0.977,0.121,0.137,0.2,0.985,0.016,13,,,,,,,,,,,,,,,,,
"CEW, EMT, GKH",9Nov23,F_sed_4m_R2_F2_06Nov23,0.983,0.122,0.137,0.2,0.985,0.015,13,,,,,,,,,,,,,,,,,
"CEW, EMT, GKH",9Nov23,F_sed_4m_R2_F3_06Nov23,0.962,0.121,0.137,0.2,0.985,0.016,13,,,,,,,,,,,,,,,,,
"CEW, EMT, GKH",9Nov23,F_sed_4m_R2_F4_06Nov23,0.99,0.122,0.139,0.2,0.985,0.017,13,,,,,,,,,,,,,,,,,
"CEW, EMT, GKH",9Nov23,F_sed_8m_R1_F1_06Nov23,1.008,0.122,0.147,0.1,1.335,0.025,13,,,,,,,,,,,,,,,,,
"CEW, EMT, GKH",9Nov23,F_sed_8m_R1_F2_06Nov23,1.006,0.121,0.146,0.1,1.335,0.025,13,,,,,,,,,,,,,,,,,
"CEW, EMT, GKH",9Nov23,F_sed_8m_R1_F3_06Nov23,1.015,0.122,0.147,0.1,1.335,0.025,13,,,,,,,,,,,,,,,,,
"CEW, EMT, GKH",9Nov23,F_sed_8m_R1_F4_06Nov23,1.021,0.123,0.147,0.1,1.335,0.024,13,,,,,,,,,,,,,,,,,
"CEW, EMT, GKH",9Nov23,F_sed_8m_R2_F1_06Nov23,0.968,0.121,0.155,0.15,1.24,0.034,13,,,,,,,,,,,,,,,,,
"CEW, EMT, GKH",9Nov23,F_sed_8m_R2_F2_06Nov23,0.974,0.121,0.158,0.15,1.24,0.037,13,,,,,,,,,,,,,,,,,
"CEW, EMT, GKH",9Nov23,F_sed_8m_R2_F3_06Nov23,0.972,0.121,0.145,0.1,1.24,0.024,13,,,,,,,,,,,,,,,,,
"CEW, EMT, GKH",9Nov23,F_sed_8m_R2_F4_06Nov23,0.996,0.122,0.146,0.1,1.24,0.024,13,,,,,,,,,,,,,,,,,
"CEW, EMT, GKH",9Nov23,B_sed_4m_R1_F1_06Nov23,0.999,0.122,0.141,0.15,1.15,0.019,13,,,,,,,,,,,,,,,,,
"CEW, EMT, GKH",9Nov23,B_sed_4m_R1_F2_06Nov23,1.005,0.122,0.133,0.15,1.15,0.011,13,,,,,,,,,,,,,,,,,
"CEW, EMT, GKH",9Nov23,B_sed_4m_R1_F3_06Nov23,0.986,0.121,0.117,0.151,1.15,-0.004,13,negative sed mass,,,,,,,,,,,,,,,,
"CEW, EMT, GKH",9Nov23,B_sed_4m_R1_F4_06Nov23,0.986,0.123,0.138,0.15,1.15,0.015,13,,,,,,,,,,,,,,,,,
"CEW, EMT, GKH",9Nov23,B_sed_4m_R2_F1_06Nov23,1.004,0.122,0.13,0.15,1.1,0.008,13,,,,,,,,,,,,,,,,,
"CEW, EMT, GKH",9Nov23,B_sed_4m_R2_F2_06Nov23,1.006,0.122,0.131,0.15,1.1,0.009,13,,,,,,,,,,,,,,,,,
"CEW, EMT, GKH",9Nov23,B_sed_4m_R2_F3_06Nov23,0.997,0.122,0.131,0.15,1.1,0.009,13,,,,,,,,,,,,,,,,,
"CEW, EMT, GKH",9Nov23,B_sed_4m_R2_F4_06Nov23,0.99,0.121,0.132,0.151,1.1,0.011,13,,,,,,,,,,,,,,,,,
"CEW, EMT, GKH",9Nov23,B_sed_8m_R1_F1_06Nov23,0.993,0.122,0.132,0.1,1.35,0.01,13,,,,,,,,,,,,,,,,,
"CEW, EMT, GKH",9Nov23,B_sed_8m_R1_F2_06Nov23,0.99,0.122,0.13,0.1,1.35,0.008,13,,,,,,,,,,,,,,,,,
"CEW, EMT, GKH",9Nov23,B_sed_8m_R1_F3_06Nov23,1,0.123,0.131,0.1,1.35,0.008,13,,,,,,,,,,,,,,,,,
"CEW, EMT, GKH",9Nov23,B_sed_8m_R1_F4_06Nov23,1,0.121,0.13,0.101,1.35,0.009,13,,,,,,,,,,,,,,,,,
"CEW, EMT, GKH",9Nov23,B_sed_8m_R2_F1_06Nov23,0.986,0.122,0.131,0.1,1.25,0.009,13,,,,,,,,,,,,,,,,,
"CEW, EMT, GKH",9Nov23,B_sed_8m_R2_F2_06Nov23,1.002,0.122,0.134,0.1,1.25,0.012,13,,,,,,,,,,,,,,,,,
"CEW, EMT, GKH",9Nov23,B_sed_8m_R2_F3_06Nov23,0.994,0.122,0.136,0.1,1.25,0.014,13,,,,,,,,,,,,,,,,,
"CEW, EMT, GKH",9Nov23,B_sed_8m_R2_F4_06Nov23,1.009,0.123,0.133,0.1,1.25,0.01,13,,,,,,,,,,,,,,,,,
CEW,20Nov23,F_sed_4m_R1_F1_17Nov23,1.001,0.122,0.134,0.1,1.33,0.012,11,,,,,,,,,,,,,,,,,
CEW,20Nov23,F_sed_4m_R1_F2_17Nov23,1.066,0.122,0.133,0.099,1.33,0.011,11,,,,,,,,,,,,,,,,,
CEW,20Nov23,F_sed_4m_R1_F3_17Nov23,0.991,0.123,0.134,0.099,1.33,0.011,11,,,,,,,,,,,,,,,,,
CEW,20Nov23,F_sed_4m_R1_F4_17Nov23,0.982,0.122,0.133,0.097,1.33,0.011,11,,,,,,,,,,,,,,,,,
CEW,20Nov23,F_sed_4m_R2_F1_17Nov23,0.983,0.122,0.133,0.098,1.39,0.011,11,,,,,,,,,,,,,,,,,
CEW,20Nov23,F_sed_4m_R2_F2_17Nov23,1.025,0.123,0.135,0.099,1.39,0.012,11,,,,,,,,,,,,,,,,,
CEW,20Nov23,F_sed_4m_R2_F3_17Nov23,0.953,0.123,0.134,0.099,1.39,0.011,11,,,,,,,,,,,,,,,,,
CEW,20Nov23,F_sed_4m_R2_F4_17Nov23,0.991,0.121,0.133,0.099,1.39,0.012,11,,,,,,,,,,,,,,,,,
CEW,20Nov23,F_sed_8m_R1_F1_17Nov23,0.996,0.122,0.149,0.08,1.425,0.027,11,,,,,,,,,,,,,,,,,
CEW,20Nov23,F_sed_8m_R1_F2_17Nov23,0.999,0.122,0.149,0.08,1.425,0.027,11,,,,,,,,,,,,,,,,,
CEW,20Nov23,F_sed_8m_R1_F3_17Nov23,0.991,0.123,0.149,0.08,1.425,0.026,11,,,,,,,,,,,,,,,,,
CEW,20Nov23,F_sed_8m_R1_F4_17Nov23,0.991,0.122,0.149,0.08,1.425,0.027,11,,,,,,,,,,,,,,,,,
CEW,20Nov23,F_sed_8m_R2_F1_17Nov23,1.006,0.123,0.147,0.083,1.49,0.024,11,,,,,,,,,,,,,,,,,
CEW,20Nov23,F_sed_8m_R2_F2_17Nov23,1.012,0.122,0.146,0.08,1.49,0.024,11,,,,,,,,,,,,,,,,,
CEW,20Nov23,F_sed_8m_R2_F3_17Nov23,1.015,0.122,0.146,0.081,1.49,0.024,11,,,,,,,,,,,,,,,,,
CEW,20Nov23,F_sed_8m_R2_F4_17Nov23,1.014,0.123,0.145,0.08,1.49,0.022,11,,,,,,,,,,,,,,,,,
CEW,20Nov23,B_sed_4m_R1_F1_17Nov23,0.99,0.122,0.131,0.199,1.14,0.009,11,,,,,,,,,,,,,,,,,
CEW,20Nov23,B_sed_4m_R1_F2_17Nov23,0.955,0.123,0.129,0.149,1.14,0.006,11,,,,,,,,,,,,,,,,,
CEW,20Nov23,B_sed_4m_R1_F3_17Nov23,1.002,0.122,0.128,0.15,1.14,0.006,11,,,,,,,,,,,,,,,,,
CEW,20Nov23,B_sed_4m_R1_F4_17Nov23,1.053,0.122,0.128,0.149,1.14,0.006,11,,,,,,,,,,,,,,,,,
CEW,20Nov23,B_sed_4m_R2_F1_17Nov23,1.051,0.123,0.127,0.149,1.16,0.004,11,,,,,,,,,,,,,,,,,
CEW,20Nov23,B_sed_4m_R2_F2_17Nov23,1.036,0.121,0.125,0.15,1.16,0.004,11,,,,,,,,,,,,,,,,,
CEW,20Nov23,B_sed_4m_R2_F3_17Nov23,1.045,0.122,0.127,0.15,1.16,0.005,11,,,,,,,,,,,,,,,,,
CEW,20Nov23,B_sed_4m_R2_F4_17Nov23,1.045,0.12,0.125,0.151,1.16,0.005,11,,,,,,,,,,,,,,,,,
CEW,20Nov23,B_sed_8m_R1_F1_17Nov23,1.06,0.121,0.126,0.101,1.39,0.005,11,,,,,,,,,,,,,,,,,
CEW,20Nov23,B_sed_8m_R1_F2_17Nov23,0.982,0.122,0.127,0.102,1.39,0.005,11,,,,,,,,,,,,,,,,,
CEW,20Nov23,B_sed_8m_R1_F3_17Nov23,0.972,0.122,0.128,0.102,1.39,0.006,11,,,,,,,,,,,,,,,,,
CEW,20Nov23,B_sed_8m_R1_F4_17Nov23,0.974,0.122,0.128,0.1,1.39,0.006,11,,,,,,,,,,,,,,,,,
CEW,20Nov23,B_sed_8m_R2_F1_17Nov23,0.977,0.123,0.13,0.099,1.37,0.007,11,,,,,,,,,,,,,,,,,
CEW,20Nov23,B_sed_8m_R2_F2_17Nov23,0.985,0.12,0.128,0.099,1.37,0.008,11,,,,,,,,,,,,,,,,,
CEW,20Nov23,B_sed_8m_R2_F3_17Nov23,0.959,0.121,0.127,0.1,1.37,0.006,11,,,,,,,,,,,,,,,,,
CEW,20Nov23,B_sed_8m_R2_F4_17Nov23,0.968,0.122,0.129,0.101,1.37,0.007,11,,,,,,,,,,,,,,,,,
EMT,6Dec23,B_sed_4m_R1_F1_04Dec23,1.007,0.122,0.135,0.149,1.085,0.013,17,,,,,,,,,,,,,,,,,
EMT,6Dec23,B_sed_4m_R1_F2_04Dec23,1.001,0.122,0.135,0.15,1.085,0.013,17,,,,,,,,,,,,,,,,,
EMT,6Dec23,B_sed_4m_R1_F3_04Dec23,1.022,0.122,0.133,0.151,1.085,0.011,17,,,,,,,,,,,,,,,,,
EMT,6Dec23,B_sed_4m_R1_F4_04Dec23,1.02,0.122,0.136,0.15,1.085,0.014,17,,,,,,,,,,,,,,,,,
EMT,6Dec23,B_sed_4m_R2_F1_04Dec23,1.015,0.122,0.134,0.1,1.335,0.012,17,,,,,,,,,,,,,,,,,
EMT,6Dec23,B_sed_4m_R2_F2_04Dec23,1.006,0.119,0.132,0.1,1.335,0.013,17,,,,,,,,,,,,,,,,,
EMT,6Dec23,B_sed_4m_R2_F3_04Dec23,1.001,0.122,0.134,0.99,1.335,0.012,17,,,,,,,,,,,,,,,,,
EMT,6Dec23,B_sed_4m_R2_F4_04Dec23,0.996,0.122,0.131,0.99,1.335,0.009,17,,,,,,,,,,,,,,,,,
EMT,6Dec23,B_sed_8m_R1_F1_04Dec23,0.999,0.122,0.135,0.1,1.385,0.013,17,,,,,,,,,,,,,,,,,
EMT,6Dec23,B_sed_8m_R1_F2_04Dec23,0.992,0.122,0.135,0.1,1.385,0.013,17,,,,,,,,,,,,,,,,,
EMT,6Dec23,B_sed_8m_R1_F3_04Dec23,1.004,0.122,0.135,0.1,1.385,0.013,17,,,,,,,,,,,,,,,,,
EMT,6Dec23,B_sed_8m_R1_F4_04Dec23,1.008,0.122,0.136,0.1,1.385,0.014,17,,,,,,,,,,,,,,,,,
EMT,6Dec23,B_sed_8m_R2_F1_04Dec23,1.006,0.123,0.133,0.1,1.375,0.01,17,,,,,,,,,,,,,,,,,
EMT,6Dec23,B_sed_8m_R2_F2_04Dec23,1.01,0.122,0.133,0.1,1.375,0.011,17,,,,,,,,,,,,,,,,,
EMT,6Dec23,B_sed_8m_R2_F3_04Dec23,1.003,0.122,0.132,0.1,1.375,0.01,17,,,,,,,,,,,,,,,,,
