Site Name,FCR IN FLO
Isco Quantity,Sample Event
Label,Sample Event
Units,SU
Resolution, 0.1 
Significant Digits,0

4/16/2020 2:04:00 PM,0
4/16/2020 5:42:00 PM,0
4/16/2020 9:19:00 PM,0
4/17/2020 12:57:00 AM,0
4/17/2020 4:37:00 AM,0
4/17/2020 8:20:00 AM,0
4/17/2020 12:11:00 PM,0
4/17/2020 4:07:00 PM,0
4/17/2020 8:02:00 PM,0
4/17/2020 11:58:00 PM,0
4/18/2020 3:56:00 AM,0
4/18/2020 7:53:00 AM,0
4/18/2020 11:52:00 AM,0
4/18/2020 3:58:00 PM,0
4/18/2020 8:05:00 PM,0
4/19/2020 12:16:00 AM,0
4/19/2020 4:31:00 AM,0
4/19/2020 8:53:00 AM,0
4/19/2020 1:25:00 PM,0
4/19/2020 6:05:00 PM,0
4/19/2020 10:48:00 PM,0
4/20/2020 3:35:00 AM,0
4/20/2020 8:21:00 AM,0
4/20/2020 12:47:00 PM,0
4/20/2020 6:12:00 PM,0
4/20/2020 10:51:00 PM,0
4/21/2020 3:37:00 AM,0
4/21/2020 8:30:00 AM,0
4/21/2020 1:30:00 PM,0
4/21/2020 6:39:00 PM,0
4/21/2020 11:58:00 PM,0
4/22/2020 5:31:00 AM,0
4/22/2020 11:16:00 AM,0
4/22/2020 5:03:00 PM,0
4/22/2020 10:56:00 PM,0
4/23/2020 4:58:00 AM,0
4/23/2020 11:04:00 AM,0
4/23/2020 5:03:00 PM,0
4/23/2020 10:35:00 PM,0
4/24/2020 4:08:00 AM,0
4/24/2020 9:36:00 AM,0
4/24/2020 3:06:00 PM,0
4/24/2020 8:46:00 PM,0
4/25/2020 2:33:00 AM,0
4/25/2020 8:29:00 AM,0
4/25/2020 2:32:00 PM,0
4/25/2020 8:07:00 PM,0
4/26/2020 1:21:00 AM,0
4/26/2020 5:54:00 AM,0
4/26/2020 10:22:00 AM,0
4/26/2020 2:54:00 PM,0
4/26/2020 7:25:00 PM,0
4/26/2020 11:57:00 PM,0
4/27/2020 4:34:00 AM,0
4/27/2020 9:18:00 AM,0
4/27/2020 2:10:00 PM,0
4/27/2020 7:07:00 PM,0
4/28/2020 12:08:00 AM,0
4/28/2020 5:14:00 AM,0
4/28/2020 10:27:00 AM,0
4/28/2020 3:47:00 PM,0
4/28/2020 9:14:00 PM,0
4/29/2020 2:41:00 AM,0
4/29/2020 8:13:00 AM,0
4/29/2020 1:55:00 PM,0
4/29/2020 7:44:00 PM,0
4/30/2020 1:05:00 AM,0
4/30/2020 3:44:00 AM,0
4/30/2020 5:58:00 AM,0
4/30/2020 8:11:00 AM,0
4/30/2020 10:32:00 AM,0
4/30/2020 12:57:00 PM,0
4/30/2020 3:27:00 PM,0
4/30/2020 6:01:00 PM,0
4/30/2020 8:39:00 PM,0
4/30/2020 11:20:00 PM,0
5/1/2020 2:04:00 AM,0
5/1/2020 4:51:00 AM,0
5/1/2020 7:40:00 AM,0
5/1/2020 10:31:00 AM,0
5/1/2020 1:26:00 PM,0
5/1/2020 4:21:00 PM,0
5/1/2020 7:07:00 PM,162
5/1/2020 7:18:00 PM,0
5/1/2020 10:17:00 PM,0
5/2/2020 1:16:00 AM,0
5/2/2020 4:17:00 AM,0
5/2/2020 7:18:00 AM,0
5/2/2020 10:21:00 AM,0
5/2/2020 1:27:00 PM,0
5/2/2020 4:34:00 PM,0
5/2/2020 7:43:00 PM,0
5/2/2020 10:50:00 PM,0
5/3/2020 1:58:00 AM,0
