"Reading Date","FCR DO Temperature (degC)","FCR DO Pressure (PSI)","FCR DO Power (V)","FCR DO Dissolved Oxygen (ppm)","FCR DO Temperature (degC)","Temperature Modem (degC)","Vbattery Modem (Volts)","Vcommon Modem (Volts)"
"- null date -","","","","","","","",""
"11/03/15 04:00:00","","","","","","10.751","13.160","13.143"
"- null date -","","","","","","","",""
"11/03/15 03:45:09","12.875","26.508","13.115","9.169","12.990","","",""
"- null date -","","","","","","","",""
"- null date -","","","","","","","",""
"11/03/15 03:30:09","12.875","26.502","13.115","9.139","12.990","","",""
"- null date -","","","","","","","",""
"- null date -","","","","","","","",""
"11/03/15 03:15:09","12.875","26.506","13.115","9.160","12.990","","",""
"- null date -","","","","","","","",""
"- null date -","","","","","","","",""
"11/03/15 03:00:09","12.875","26.501","13.115","9.150","12.990","","",""
"- null date -","","","","","","","",""
"11/03/15 03:00:00","","","","","","10.677","13.204","13.134"
"- null date -","","","","","","","",""
"11/03/15 02:45:09","12.875","26.506","13.145","9.139","12.990","","",""
"- null date -","","","","","","","",""
"- null date -","","","","","","","",""
"11/03/15 02:30:09","12.875","26.507","13.145","9.139","12.990","","",""
"- null date -","","","","","","","",""
"- null date -","","","","","","","",""
"11/03/15 02:15:09","12.875","26.504","13.145","9.139","12.990","","",""
"- null date -","","","","","","","",""
"- null date -","","","","","","","",""
"11/03/15 02:00:09","12.875","26.503","13.145","9.150","12.990","","",""
"- null date -","","","","","","","",""
"11/03/15 02:00:00","","","","","","10.776","13.204","13.160"
"- null date -","","","","","","","",""
"11/03/15 01:45:09","12.875","26.492","13.145","9.150","12.980","","",""
"- null date -","","","","","","","",""
"- null date -","","","","","","","",""
"11/03/15 01:30:09","12.875","26.500","13.175","9.120","12.990","","",""
"- null date -","","","","","","","",""
"- null date -","","","","","","","",""
"11/03/15 01:15:09","12.875","26.501","13.145","9.099","12.990","","",""
"- null date -","","","","","","","",""
"- null date -","","","","","","","",""
"11/03/15 01:00:09","12.875","26.496","13.145","9.129","12.980","","",""
"- null date -","","","","","","","",""
"11/03/15 01:00:00","","","","","","10.776","13.222","13.187"
"- null date -","","","","","","","",""
"11/03/15 00:45:09","12.812","26.502","13.145","9.110","12.980","","",""
"- null date -","","","","","","","",""
"- null date -","","","","","","","",""
"11/03/15 00:30:09","12.875","26.502","13.175","9.099","12.990","","",""
"- null date -","","","","","","","",""
"- null date -","","","","","","","",""
"11/03/15 00:15:09","12.875","26.479","13.115","9.080","12.980","","",""
"- null date -","","","","","","","",""
"- null date -","","","","","","","",""
"11/03/15 00:00:09","12.875","26.486","13.145","9.110","12.980","","",""
"- null date -","","","","","","","",""
"11/03/15 00:00:00","","","","","","10.875","13.204","13.222"
"- null date -","","","","","","","",""
"11/02/15 23:45:09","12.875","26.475","13.175","9.139","12.970","","",""
"- null date -","","","","","","","",""
"- null date -","","","","","","","",""
"11/02/15 23:30:09","12.875","26.498","13.175","9.150","12.980","","",""
"- null date -","","","","","","","",""
"- null date -","","","","","","","",""
"11/02/15 23:15:09","12.875","26.489","13.145","9.129","12.980","","",""
"- null date -","","","","","","","",""
"- null date -","","","","","","","",""
"11/02/15 23:00:09","12.875","26.491","13.145","9.110","12.990","","",""
