"","Reservoir","Site","Depth_m","Filter","DataStream","Sample_ID","Sample_Date","start_parameter","end_parameter","flag","notes"
"106","FCR",100.1,0.1,"T","Metals",30,2022-11-28,"Li_mgL","Ba_mgL",6,"Sample had particulates and was microwave digested. See digestion notebook"
"107","FCR",100.1,0.1,"T","Metals",29,2021-12-06,"Li_mgL","Ba_mgL",6,"Sample had particulates and was microwave digested. See digestion notebook"
"108","FCR",100.1,0.1,"T","Metals",29,2022-12-12,"Li_mgL","Ba_mgL",6,"Sample had particulates and was microwave digested. See digestion notebook"
"109","FCR",100.1,0.1,"T","Metals",30,2022-12-12,"Li_mgL","Ba_mgL",6,"Sample had particulates and was microwave digested. See digestion notebook"
"110","FCR",100.1,0.1,"T","Metals",29,2023-12-04,"Li_mgL","Ba_mgL",6,"Sample had particulates and was microwave digested. See digestion notebook"
"111","FCR",100.1,0.1,"T","Metals",30,2023-12-04,"Li_mgL","Ba_mgL",6,"Sample had particulates and was microwave digested. See digestion notebook"
"112","FCR",100.1,0.1,"T","Metals",29,2024-06-03,"Li_mgL","Ba_mgL",6,"Sample had particulates and was microwave digested. See digestion notebook"
"113","FCR",100.1,0.1,"T","Metals",30,2024-06-03,"Li_mgL","Ba_mgL",6,"Sample had particulates and was microwave digested. See digestion notebook"
"114","FCR",100.1,0.1,"T","Metals",29,2024-07-15,"Li_mgL","Ba_mgL",6,"Sample had particulates and was microwave digested. See digestion notebook"
"115","FCR",100.1,0.1,"T","Metals",30,2024-07-15,"Li_mgL","Ba_mgL",6,"Sample had particulates and was microwave digested. See digestion notebook"
"116","FCR",100.1,0.1,"T","Metals",29,2024-07-29,"Li_mgL","Ba_mgL",6,"Sample had particulates and was microwave digested. See digestion notebook"
"117","FCR",100.1,0.1,"T","Metals",30,2024-07-29,"Li_mgL","Ba_mgL",6,"Sample had particulates and was microwave digested. See digestion notebook"
"118","FCR",100.1,0.1,"T","Metals",29,2024-08-19,"Li_mgL","Ba_mgL",6,"Sample had particulates and was microwave digested. See digestion notebook"
"119","FCR",100.1,0.1,"T","Metals",30,2024-08-19,"Li_mgL","Ba_mgL",6,"Sample had particulates and was microwave digested. See digestion notebook"
"120","FCR",100.1,0.1,"T","Metals",29,2024-09-02,"Li_mgL","Ba_mgL",6,"Sample had particulates and was microwave digested. See digestion notebook"
"121","FCR",100.1,0.1,"T","Metals",30,2024-09-02,"Li_mgL","Ba_mgL",6,"Sample had particulates and was microwave digested. See digestion notebook"
"122","FCR",100.1,0.1,"T","Metals",29,2024-09-09,"Li_mgL","Ba_mgL",6,"Sample had particulates and was microwave digested. See digestion notebook"
"123","FCR",100.1,0.1,"T","Metals",30,2024-09-09,"Li_mgL","Ba_mgL",6,"Sample had particulates and was microwave digested. See digestion notebook"
"124","FCR",100.1,0.1,"T","Metals",29,2024-10-29,"Li_mgL","Ba_mgL",6,"Sample had particulates and was microwave digested. See digestion notebook"
"125","FCR",100.1,0.1,"T","Metals",30,2024-10-29,"Li_mgL","Ba_mgL",6,"Sample had particulates and was microwave digested. See digestion notebook"
"126","FCR",100.1,0.1,"T","Metals",29,2024-11-19,"Li_mgL","Ba_mgL",6,"Sample had particulates and was microwave digested. See digestion notebook"
"127","FCR",100.1,0.1,"T","Metals",30,2024-11-19,"Li_mgL","Ba_mgL",6,"Sample had particulates and was microwave digested. See digestion notebook"
"128","FCR",100.1,0.1,"T","Metals",29,2024-12-03,"Li_mgL","Ba_mgL",6,"Sample had particulates and was microwave digested. See digestion notebook"
"129","FCR",100.1,0.1,"T","Metals",30,2024-12-03,"Li_mgL","Ba_mgL",6,"Sample had particulates and was microwave digested. See digestion notebook"
