"Reservoir","DateTime","Site","Duration_days","Depth_m","TrapRep","TrapXSA_m2","TrapVol_L","CollectionVol_L","FilterRep","FilterVol_L","FilterMassPre_g","FilterMassPost_g","SedMass_g","SedFlux_gm2d","FilterID","Flag_CollectionVol_L","Flag_SedMass_g"
"BVR",2022-06-27,50,14,4,2,0.0040715,2,1817,3,140,0.108,0.137,0.029,6.60301698967688,"B_sed_4m_R2_F3_27Jun22",1,1
"BVR",2022-06-27,50,14,4,2,0.0040715,2,1817,4,140,0.108,0.141,0.033,7.51377795377023,"B_sed_4m_R2_F4_27Jun22",1,1
"BVR",2022-06-27,50,14,8,1,0.0040715,2,1775,1,83,0.107,0.127,0.02,7.50356736501981,"B_sed_8m_R1_F1_27Jun22",1,1
"BVR",2022-06-27,50,14,8,1,0.0040715,2,1775,2,83,0.107,0.127,0.02,7.50356736501981,"B_sed_8m_R1_F2_27Jun22",1,1
"BVR",2022-06-27,50,14,8,1,0.0040715,2,1775,3,79,0.107,0.125,0.018,7.09514534388582,"B_sed_8m_R1_F3_27Jun22",1,1
"BVR",2022-06-27,50,14,8,1,0.0040715,2,1775,4,80,0.107,0.126,0.019,7.39570358414765,"B_sed_8m_R1_F4_27Jun22",1,1
"BVR",2022-06-27,50,14,8,2,0.0040715,2,1769,1,78,0.107,0.126,0.019,7.55969643357584,"B_sed_8m_R2_F1_27Jun22",1,1
"BVR",2022-06-27,50,14,8,2,0.0040715,2,1769,2,77,0.107,0.128,0.021,8.46396634189831,"B_sed_8m_R2_F2_27Jun22",1,1
"BVR",2022-06-27,50,14,8,2,0.0040715,2,1769,3,82,0.107,0.127,0.02,7.56940079356759,"B_sed_8m_R2_F3_27Jun22",1,1
"BVR",2022-06-27,50,14,8,2,0.0040715,2,1769,4,82,0.107,0.131,0.024,9.08328095228111,"B_sed_8m_R2_F4_27Jun22",1,1
"FCR",2022-07-11,50,14,4,1,0.0040715,2,1710,1,138,0.107,0.11,0.003,0.652162471596609,"F_sed_4m_R1_F1_11Jul22",1,1
"FCR",2022-07-11,50,14,4,1,0.0040715,2,1710,2,142,0.107,0.112,0.005,1.05631949624803,"F_sed_4m_R1_F2_11Jul22",1,1
"FCR",2022-07-11,50,14,4,1,0.0040715,2,1710,3,140,0.107,0.111,0.004,0.857127819812686,"F_sed_4m_R1_F3_11Jul22",1,1
"FCR",2022-07-11,50,14,4,1,0.0040715,2,1710,4,140,0.107,0.111,0.004,0.857127819812686,"F_sed_4m_R1_F4_11Jul22",1,1
