Reservoir,Site,DateTime,Depth_m,Rep,RunDate,NH4_ugL,PO4_ugL,NO3NO2_ugL,Notes_lachat,SampleID_lachat
FCR,50,8/29/22 10:26,8,1,9/21/22,1240,8.5,2.4,,F50 29aug 8.0
FCR,100,8/29/22 10:53,0.1,1,9/21/22,12.7,24.5,145,,F50 29aug weir
CCR,301,6/30/22 13:10,0.1,1,9/21/22,23.4,4.7,53.6,,SMB 30jun 0.1
FCR,100,8/18/22 12:35,0.1,1,10/5/22,15.8,19.2,115,,? 18aug weir
FCR,200,8/18/22 13:15,0.1,1,10/5/22,44.2,9.89,34.6,,? 18aug wet
BVR,50,4/12/22 14:34,3,1,10/5/22,8.12,5.06,1.4,,b 12apr 3.0
BVR,50,4/12/22 14:56,9,1,10/5/22,16.7,5.5,6.85,,b 12apr 9.0
BVR,50,8/1/22 10:28,0.1,1,10/5/22,23.2,6.06,12.2,,b50 01aug 0.1
BVR,50,9/5/22 10:22,3,1,10/5/22,55.9,6.34,3.84,,b50 05sep 3.0
BVR,50,9/5/22 10:25,6,1,10/5/22,1330,17,6.94,,b50 05sep 6.0
BVR,50,8/18/22 10:12,0.1,1,10/5/22,10.2,7.56,3.22,,b50 18aug 0.1
BVR,50,8/18/22 10:18,3,1,10/5/22,25.2,5.65,3.1,,b50 18aug 3.0
BVR,50,8/18/22 10:35,6,1,10/5/22,1100,44.6,11.7,,b50 18aug 6.0
BVR,50,8/18/22 10:47,7,1,10/5/22,2120,22.1,6.62,,b50 18aug 7.0
BVR,50,8/22/22 10:30,0.1,1,10/5/22,16.7,5.85,1.81,,b50 22aug 0.1
BVR,50,8/22/22 10:39,3,1,10/5/22,15.9,7.31,2.65,,b50 22aug 3.0
BVR,50,8/22/22 11:00,6,1,10/5/22,1460,14.1,3.59,,b50 22aug 6.0
BVR,50,8/22/22 11:14,7,1,10/5/22,2020,10.1,2.4,,b50 22aug 7.0
CCR,301,7/14/22 12:00,0.1,1,10/5/22,6.06,4.78,45.8,Flag_DateTime,c 14jul SMB
CCR,50,4/20/22 10:04,0.1,1,10/5/22,3.7,3.67,2.69,,C 20apr 0.1
CCR,NA,4/20/22 12:00,0.1,1,10/5/22,5.93,4.31,6.25,Flag_DateTime,c 20apr Z
CCR,50,6/9/22 11:27,21,1,10/5/22,171,15.1,40,9-Jun,c50 09jul 21.0
CCR,50,6/9/22 10:40,6,1,10/5/22,10.6,3.79,2.85,9-Jun,c50 09jul 6.0
CCR,50,6/9/22 10:13,0.1,1,10/5/22,4.61,4.39,2.69,,c50 09jun 0.1
CCR,50,6/9/22 10:48,9,1,10/5/22,6.2,5.98,3.41,,c50 09jun 9.0
CCR,50,8/19/22 9:30,0.1,1,10/5/22,3.93,4.88,0.715,,c50 19aug 0.1
CCR,50,8/19/22 9:42,1.5,1,10/5/22,14.8,2.61,1.06,,c50 19aug 1.5
CCR,50,8/19/22 10:38,20,1,10/5/22,637,5.34,5.59,,c50 19aug 20.0
CCR,50,8/19/22 9:56,6,1,10/5/22,6.83,3.66,0.48,,c50 19aug 6.0
CCR,50,8/19/22 10:11,9,1,10/5/22,12.2,3.77,50.9,,c50 19aug 9.0
CCR,100,6/9/22 12:15,0.1,1,10/5/22,6.68,6.32,91.9,,ccr 09jun hbp
CCR,201,6/9/22 12:53,0.1,1,10/5/22,7.62,4.25,22.2,,ccs 09jun 0.1
CCR,201,7/14/22 12:00,0.1,1,10/5/22,6.67,4.92,37.1,Flag_DateTime,ccs 14jul 0.1
