
Advanced Calibration Data
,Temperature,Cal Date, Tm, Tzs, Tb
,Pressure,Cal Date,m2,m1,m0,b2,b1,b0,Linear(a),Linear(b)
,Temperature,unknown,0.000000,0.00,0.000000
,Pressure,4-Jun-12 14:50:11,0.000004,-0.000244,1.003512,-0.000072,0.004134,0.037016,0.000000,1.000000

Field Calibration Data
,Temperature,Cal Date,m,b
,Pressure,Cal Date,m,b
,Temperature(degC),unknown,1.000000,0.00
,Pressure(psi),unknown,1.000000,0.00

Sensor/Session information
SensorSN, 21204020 ,,Modbus Addr., 2 
Sensor Type,PT2X,,Initialized w/fw Rev,"2. 7"
Sensor Name,Barometric Pressure (2),,Uploaded,"Aqua4Plus 1.9.6"
Session Name,FCR_BV_20211109,,Exported,"Aqua4Plus 1.9.6"
# Records,  14771 
Statistical Data,,Temperature(degC),Pressure(psi),
,Sensor Range,-40 - +125 degC,15 psia,
,Minimum,-11.19,13.500,
,Maximum,26.31,14.247,
,Mean,7.11,13.906,
,Variance,47.118,0.0100,
,Std Deviation,6.864,0.0998,
,,,,
,Field Cal Date,unknown,unknown,
Rec #,Date/Time,Temperature(degC),Pressure(psi)
290,12-Nov-21 14:39:07,19.31,13.867
291,12-Nov-21 14:54:07,19.69,13.866
292,12-Nov-21 15:09:07,19.69,13.868
293,12-Nov-21 15:24:07,19.19,13.870
294,12-Nov-21 15:39:07,18.50,13.868
295,12-Nov-21 15:54:07,17.88,13.868
296,12-Nov-21 16:09:07,17.13,13.868
297,12-Nov-21 16:24:07,16.19,13.869
298,12-Nov-21 16:39:07,15.63,13.869
299,12-Nov-21 16:54:07,14.88,13.869
300,12-Nov-21 17:09:07,13.88,13.869
301,12-Nov-21 17:24:07,13.06,13.870
302,12-Nov-21 17:39:07,12.38,13.869
303,12-Nov-21 17:54:07,11.81,13.868
304,12-Nov-21 18:09:07,11.31,13.866
305,12-Nov-21 18:24:07,10.81,13.866
306,12-Nov-21 18:39:07,10.38,13.865
307,12-Nov-21 18:54:07,10.00,13.865
308,12-Nov-21 19:09:07,9.56,13.864
309,12-Nov-21 19:24:07,9.25,13.865
310,12-Nov-21 19:39:07,8.94,13.866
311,12-Nov-21 19:54:07,8.63,13.865
312,12-Nov-21 20:09:07,8.38,13.864
313,12-Nov-21 20:24:07,7.75,13.864
314,12-Nov-21 20:39:07,7.75,13.865
315,12-Nov-21 20:54:07,7.56,13.866
316,12-Nov-21 21:09:07,7.38,13.863
317,12-Nov-21 21:24:07,7.25,13.862
318,12-Nov-21 21:39:07,7.13,13.862
319,12-Nov-21 21:54:07,7.00,13.861
320,12-Nov-21 22:09:07,6.88,13.859
321,12-Nov-21 22:24:07,6.75,13.856
322,12-Nov-21 22:39:07,6.69,13.856
323,12-Nov-21 22:54:07,6.63,13.856
324,12-Nov-21 23:09:07,6.50,13.854
325,12-Nov-21 23:24:07,6.50,13.852
326,12-Nov-21 23:39:07,6.44,13.850
327,12-Nov-21 23:54:07,6.31,13.848
328,13-Nov-21 00:09:07,5.81,13.847
329,13-Nov-21 00:24:07,5.81,13.844
330,13-Nov-21 00:39:07,6.06,13.841
331,13-Nov-21 00:54:07,5.94,13.837
332,13-Nov-21 01:09:07,5.94,13.834
333,13-Nov-21 01:24:07,5.88,13.829
334,13-Nov-21 01:39:07,5.88,13.821
335,13-Nov-21 01:54:07,5.88,13.821
336,13-Nov-21 02:09:07,5.88,13.820
337,13-Nov-21 02:24:07,5.88,13.819
338,13-Nov-21 02:39:07,5.88,13.816
339,13-Nov-21 02:54:07,6.19,13.812
340,13-Nov-21 03:09:07,6.38,13.809
341,13-Nov-21 03:24:07,6.50,13.806
342,13-Nov-21 03:39:07,6.50,13.805
343,13-Nov-21 03:54:07,6.75,13.803
344,13-Nov-21 04:09:07,7.00,13.802
345,13-Nov-21 04:24:07,7.50,13.798
346,13-Nov-21 04:39:07,8.19,13.797
347,13-Nov-21 04:54:07,8.44,13.796
348,13-Nov-21 05:09:07,8.50,13.794
349,13-Nov-21 05:24:07,8.63,13.795
350,13-Nov-21 05:39:07,9.00,13.795
351,13-Nov-21 05:54:07,9.50,13.791
352,13-Nov-21 06:09:07,9.44,13.790
353,13-Nov-21 06:24:07,9.56,13.791
354,13-Nov-21 06:39:07,9.88,13.792
355,13-Nov-21 06:54:07,9.81,13.795
356,13-Nov-21 07:09:07,9.69,13.798
357,13-Nov-21 07:24:07,9.63,13.805
358,13-Nov-21 07:39:07,9.56,13.814
359,13-Nov-21 07:54:07,9.44,13.816
360,13-Nov-21 08:09:07,9.25,13.817
361,13-Nov-21 08:24:07,9.25,13.824
362,13-Nov-21 08:39:07,9.25,13.828
363,13-Nov-21 08:54:07,9.44,13.830
364,13-Nov-21 09:09:07,9.63,13.830
365,13-Nov-21 09:24:07,11.31,13.831
366,13-Nov-21 09:39:07,10.94,13.833
367,13-Nov-21 09:54:07,12.00,13.834
368,13-Nov-21 10:09:07,12.63,13.837
369,13-Nov-21 10:24:07,12.38,13.838
370,13-Nov-21 10:39:07,12.25,13.842
371,13-Nov-21 10:54:07,12.94,13.843
372,13-Nov-21 11:09:07,13.69,13.852
373,13-Nov-21 11:24:07,13.50,13.847
374,13-Nov-21 11:39:07,12.75,13.853
375,13-Nov-21 11:54:07,11.81,13.848
376,13-Nov-21 12:09:07,10.81,13.849
377,13-Nov-21 12:24:07,10.19,13.847
378,13-Nov-21 12:39:07,9.88,13.845
379,13-Nov-21 12:54:07,9.75,13.847
380,13-Nov-21 13:09:07,9.56,13.841
381,13-Nov-21 13:24:07,9.75,13.837
382,13-Nov-21 13:39:07,10.06,13.836
383,13-Nov-21 13:54:07,10.25,13.835
384,13-Nov-21 14:09:07,10.63,13.837
385,13-Nov-21 14:24:07,10.81,13.839
386,13-Nov-21 14:39:07,10.81,13.839
387,13-Nov-21 14:54:07,10.88,13.838
388,13-Nov-21 15:09:07,10.63,13.838
389,13-Nov-21 15:24:07,10.00,13.840
390,13-Nov-21 15:39:07,9.25,13.843
391,13-Nov-21 15:54:07,8.81,13.845
392,13-Nov-21 16:09:07,8.31,13.847
393,13-Nov-21 16:24:07,7.94,13.850
394,13-Nov-21 16:39:07,7.50,13.853
395,13-Nov-21 16:54:07,7.13,13.855
396,13-Nov-21 17:09:07,6.75,13.860
397,13-Nov-21 17:24:07,6.31,13.861
398,13-Nov-21 17:39:07,6.00,13.864
399,13-Nov-21 17:54:07,5.75,13.868
400,13-Nov-21 18:09:07,5.38,13.869
401,13-Nov-21 18:24:07,5.13,13.872
402,13-Nov-21 18:39:07,4.75,13.876
403,13-Nov-21 18:54:07,4.44,13.879
404,13-Nov-21 19:09:07,4.31,13.881
405,13-Nov-21 19:24:07,4.31,13.883
406,13-Nov-21 19:39:07,4.25,13.883
407,13-Nov-21 19:54:07,4.25,13.885
408,13-Nov-21 20:09:07,4.06,13.885
409,13-Nov-21 20:24:07,3.81,13.884
410,13-Nov-21 20:39:07,3.50,13.883
411,13-Nov-21 20:54:07,3.44,13.883
412,13-Nov-21 21:09:07,3.38,13.884
413,13-Nov-21 21:24:07,3.25,13.887
414,13-Nov-21 21:39:07,3.19,13.886
415,13-Nov-21 21:54:07,3.31,13.884
416,13-Nov-21 22:09:07,3.38,13.885
417,13-Nov-21 22:24:07,3.25,13.883
418,13-Nov-21 22:39:07,3.06,13.883
419,13-Nov-21 22:54:07,3.06,13.883
420,13-Nov-21 23:09:07,2.94,13.882
421,13-Nov-21 23:24:07,2.88,13.881
422,13-Nov-21 23:39:07,2.75,13.879
423,13-Nov-21 23:54:07,2.75,13.877
424,14-Nov-21 00:09:07,2.69,13.878
425,14-Nov-21 00:24:07,2.63,13.876
426,14-Nov-21 00:39:07,2.50,13.876
427,14-Nov-21 00:54:07,2.44,13.877
428,14-Nov-21 01:09:07,2.31,13.878
429,14-Nov-21 01:24:07,2.19,13.878
430,14-Nov-21 01:39:07,2.13,13.875
431,14-Nov-21 01:54:07,2.00,13.878
432,14-Nov-21 02:09:07,1.94,13.880
433,14-Nov-21 02:24:07,1.75,13.881
434,14-Nov-21 02:39:07,1.50,13.883
435,14-Nov-21 02:54:07,1.63,13.878
436,14-Nov-21 03:09:07,1.44,13.877
437,14-Nov-21 03:24:07,1.31,13.880
438,14-Nov-21 03:39:07,1.19,13.879
439,14-Nov-21 03:54:07,1.06,13.879
440,14-Nov-21 04:09:07,0.94,13.879
441,14-Nov-21 04:24:07,1.13,13.879
442,14-Nov-21 04:39:07,1.19,13.877
443,14-Nov-21 04:54:07,1.06,13.880
444,14-Nov-21 05:09:07,0.88,13.877
445,14-Nov-21 05:24:07,0.75,13.875
446,14-Nov-21 05:39:07,0.56,13.880
447,14-Nov-21 05:54:07,0.63,13.885
448,14-Nov-21 06:09:07,0.88,13.881
449,14-Nov-21 06:24:07,0.94,13.881
450,14-Nov-21 06:39:07,1.00,13.880
451,14-Nov-21 06:54:07,1.13,13.883
452,14-Nov-21 07:09:07,1.25,13.883
453,14-Nov-21 07:24:07,1.44,13.884
454,14-Nov-21 07:39:07,1.75,13.882
455,14-Nov-21 07:54:07,2.06,13.883
456,14-Nov-21 08:09:07,2.25,13.886
457,14-Nov-21 08:24:07,2.38,13.888
458,14-Nov-21 08:39:07,2.75,13.882
459,14-Nov-21 08:54:07,4.06,13.883
460,14-Nov-21 09:09:07,4.44,13.881
461,14-Nov-21 09:24:07,4.38,13.879
