Date,Depth_m,Temp_C,CDOM_ugL,Chla_ugL,Phycoerythrin,Phycocyanin,Turb_NTU,Cond_uScm,Spec_Cond_uScm,DO_mgL,DO_pSat,PAR_umolm2s,Salinity,Desc_rate,Flag,Reservoir,Cast_Number
2023-06-27T12:44:42Z,1.152,18.8467,4.59,0.8573,0.0852,1.3536,3.3642,35.037873,39.982,4.1303,39.297,14.363,2.428383824197193,0.002,0,FCR,3
2023-06-27T12:44:42Z,1.153,18.8371,4.59,0.8496,0.0852,1.269,3.3792,35.029929,39.983,3.9004,39.393,14.397,2.4290016402463572,0.002,0,FCR,3
2023-06-27T12:44:42Z,1.153,18.8291,4.59,0.7657,0.0852,1.269,3.3642,35.018623,39.981,3.7559,39.698,14.444,2.4293337861743476,0.002,0,FCR,3
2023-06-27T12:44:42Z,1.154,18.821,4.59,0.7695,0.0852,1.269,3.244,35.00886,39.982,3.6816,40.112,14.656,2.4298654468345893,0.002,0,FCR,3
2023-06-27T12:44:42Z,1.154,18.8116,4.59,0.7581,0.0852,1.269,3.3642,35.001998,39.985,3.6586,40.534,14.669,2.4306014742630886,0.003,0,FCR,3
2023-06-27T12:44:42Z,1.155,18.8007,4.59,0.7962,0.0852,1.2267,3.274,34.996206,39.989,3.6684,40.862,14.644,2.4314889574177427,0.003,0,FCR,3
2023-06-27T12:44:42Z,1.156,18.7889,4.59,0.8153,0.0852,1.2267,3.3642,34.989939,39.989,3.6978,41.026,14.634,2.432170400472911,0.004,0,FCR,3
2023-06-27T12:44:42Z,1.157,18.7765,4.59,0.8267,0.0852,1.2267,3.274,34.985487,39.99,3.7373,41.037,14.701,2.432951467565686,0.006,0,FCR,3
2023-06-27T12:44:42Z,1.158,18.7641,4.59,0.8649,0.0852,1.2267,3.3792,34.981662,39.989,3.7776,40.926,14.829,2.4336036278501325,0.007,0,FCR,3
2023-06-27T12:44:42Z,1.16,18.7531,4.59,0.8306,0.0852,1.269,3.4093,34.973483,39.982,3.809,40.728,14.845,2.4337870959046155,0.009,0,FCR,3
2023-06-27T12:44:42Z,1.162,18.7444,4.59,0.7619,0.0852,1.269,3.0486,34.96273,39.974,3.825,40.48,14.904,2.4337728806777483,0.011,0,FCR,3
2023-06-27T12:44:42Z,1.165,18.7386,4.59,0.781,0.0852,1.269,3.0636,34.950498,39.964,3.8263,40.231,14.975,2.4334614717942475,0.014,0,FCR,3
2023-06-27T12:44:42Z,1.168,18.7349,4.59,0.7733,0.0852,1.269,3.0636,34.937484,39.955,3.8163,40.071,14.933,2.4330931747159528,0.017,0,FCR,3
2023-06-27T12:44:42Z,1.173,18.7316,4.59,0.7733,0.0852,1.269,2.9734,34.9321,39.954,3.7981,40.119,14.691,2.433219236224961,0.021,0,FCR,3
