,Reservoir,Site,DateTime,Depth_m,Rep,TP_ugL,TN_ugL,Flag_TP,Flag_TN,NH4_ugL,SRP_ugL,NO3NO2_ugL,Flag_NH4,Flag_SRP,Flag_NO3NO2,DOC_mgL,DIC_mgL,DC_mgL,DN_mgL,Flag_DC,Flag_DIC,Flag_DOC,Flag_DN,Flag_DateTime
131,CCR,400,2020-08-05 12:00:00,0.1,1,33.3,189,0,0,NA,NA,NA,0,0,0,NA,NA,NA,NA,0,0,0,0,1
132,CCR,50,2020-08-19 12:37:00,0.1,1,15.8,249,0,0,7,6,3,3,0,0,2.5,4.3,6.8,0.17,0,0,0,0,0
133,CCR,50,2020-08-19 12:45:00,6,1,15.4,269,0,0,8,5,3,3,0,0,3.5,3.7,7.1,0.15,0,0,0,0,0
134,CCR,50,2020-08-19 12:58:00,9,1,11.7,225,0,0,12,6,84,3,0,0,1.9,7.1,8.9,0.2,0,0,0,0,0
135,CCR,50,2020-08-19 01:06:00,20,1,27.3,255,0,0,63,7,3,3,0,0,3,6.9,9.9,0.28,0,0,0,0,0
136,CCR,100,2020-08-19 12:00:00,0.1,1,5,225,3,0,6,8,3,3,0,0,1,2.1,3.1,0.13,0,0,0,0,1
137,CCR,300,2020-08-19 12:00:00,0.1,1,8.3,89.3,0,0,9,6,3,3,0,0,1.1,1.7,2.8,0.1,0,0,0,0,1
138,CCR,400,2020-08-19 12:00:00,0.1,1,20.4,201,0,0,14,7,5,3,0,0,3.4,5,8.5,0.23,0,0,0,0,1
139,CCR,50,2020-09-23 12:44:00,0.1,1,9,228,0,0,6,6,3,3,0,0,1.6,5.3,6.9,0.12,0,0,0,0,0
140,CCR,50,2020-09-23 12:50:00,6,1,9.9,207,0,0,9,7,3,3,0,0,3.5,4.2,7.7,0.18,0,0,0,0,0
141,CCR,50,2020-09-23 12:59:00,9,1,16.9,257,0,0,7,4,94,3,0,0,1.8,7,8.7,0.2,0,0,0,0,0
142,CCR,50,2020-09-23 13:10:00,20,1,65.9,451,8,0,57,7,3,3,0,0,1.8,10.3,12.1,0.34,0,0,0,0,0
143,FCR,30,2019-05-30 10:02:00,0.1,2,NA,NA,0,0,NA,NA,NA,0,0,0,3.5,2,5.4,0.09,0,0,0,0,0
144,FCR,20,2019-07-18 09:58:00,0.1,2,21,305,0,0,NA,NA,NA,0,0,0,NA,NA,NA,NA,0,0,0,0,0
145,FCR,102,2019-07-18 14:37:00,0.1,2,NA,NA,0,0,36,7,3,3,0,0,0,5.9,5.1,0.18,0,0,43,0,0
146,FCR,200,2019-07-18 12:22:00,0.1,2,59.1,170,0,0,NA,NA,NA,0,0,0,NA,NA,NA,NA,0,0,0,0,0
147,FCR,50,2020-01-31 12:33:00,0.1,1,27,400,0,0,3,5,3,3,0,0,2.4,4.2,6.6,0.18,0,0,0,0,0
148,FCR,50,2020-01-31 12:26:00,1.6,1,27.6,377,0,0,4,4,3,3,3,0,4,3.4,7.4,0.17,0,0,0,0,0
149,FCR,50,2020-01-31 12:19:00,3.8,1,23.4,344,0,0,5,6,3,3,0,0,2.5,4,6.5,0.19,0,0,0,0,0
150,FCR,50,2020-01-31 12:08:00,5,1,26.9,382,0,0,10,7,3,0,0,0,3.3,4,7.3,0.19,0,0,0,0,0
151,FCR,50,2020-01-31 12:01:00,6.2,1,31.8,376,0,0,15,7,6,3,0,0,3.5,3.6,7.1,0.19,0,0,0,0,0
152,FCR,50,2020-01-31 11:54:00,8,1,26.5,376,0,0,14,8,5,3,0,0,3.5,3.7,7.1,0.2,0,0,0,0,0
153,FCR,50,2020-01-31 11:42:00,9,1,27.6,394,0,0,26,8,9,3,0,0,12.4,3.6,16.1,0.235,7,7,7,7,0
154,FCR,100,2020-01-31 12:00:00,0.1,1,16.2,45,0,0,3,9,3,3,0,0,0.6,3.3,4,0.03,0,0,3,3,1
155,FCR,200,2020-01-31 12:00:00,0.1,1,27.2,162,0,0,19,4,73,3,0,0,0.8,3.4,4.2,0.09,0,0,0,0,1
156,FCR,50,2020-02-29 09:35:00,0.1,1,28,308,0,0,11,8,7,3,0,0,3.3,3.2,6.6,0.2,0,0,0,0,0
157,FCR,50,2020-02-29 09:52:00,1.6,1,26.5,311,0,0,13,7,3,3,0,0,3,3.2,6.2,0.2,0,0,0,0,0
158,FCR,50,2020-02-29 10:05:00,3.8,1,30.8,340,0,0,4,6,3,3,0,0,2.7,3.5,6.3,0.19,0,0,0,0,0
159,FCR,50,2020-02-29 10:13:00,5,1,23.7,287,0,0,10,7,3,0,0,0,2.9,3.2,6.1,0.17,0,0,0,0,0
160,FCR,50,2020-02-29 10:22:00,6.2,1,26,306,0,0,3,6,3,3,0,0,2,3.7,5.6,0.16,0,0,0,0,0
161,FCR,50,2020-02-29 10:28:00,8,1,34,356,0,0,3,5,5,3,0,0,2.1,3.8,5.9,0.19,0,0,0,0,0
162,FCR,50,2020-02-29 10:36:00,9,1,29.4,334,0,0,7,11,3,3,3,0,2.4,3.6,6,0.17,0,0,0,0,0
163,FCR,100,2020-02-29 11:20:00,0.1,1,20.9,99,0,0,4,12,3,3,3,0,1,2.9,3.9,0.08,0,0,0,0,0
164,FCR,200,2020-02-29 12:00:00,0.1,1,42.2,266,0,0,21,4,68,3,0,0,1.3,2.8,4.1,0.13,0,0,0,0,1
165,FCR,100.1,2020-03-24 12:00:00,0.1,1,120,774,0,0,NA,NA,NA,0,0,0,NA,NA,NA,NA,0,0,0,0,1
166,FCR,1,2020-03-30 12:00:00,0.1,1,39.3,388,0,0,9,10,71,3,3,0,2.2,5.9,8.1,0.2,0,0,0,0,1
167,FCR,20,2020-03-30 12:00:00,0.1,1,30.3,310,0,0,2,7,0,3,0,43,3.3,3.7,6.9,0.16,0,0,0,0,1
168,FCR,30,2020-03-30 12:00:00,0.1,1,33.6,331,0,0,4,8,3,3,0,0,3.5,3.7,7.2,0.16,0,0,0,0,1
169,FCR,45,2020-03-30 12:00:00,0.1,1,27.3,358,0,0,NA,NA,NA,0,0,0,NA,NA,NA,NA,0,0,0,0,1
170,FCR,45,2020-03-30 12:00:00,0.1,2,NA,NA,0,0,4,7,3,3,0,0,3,3.7,6.7,0.18,0,0,0,0,1
171,FCR,50,2020-03-30 10:50:00,0.1,1,27.6,198,0,0,NA,NA,NA,0,0,0,NA,NA,NA,NA,0,0,0,0,0
172,FCR,50,2020-03-30 10:50:00,0.1,2,NA,NA,0,0,2,8,3,3,0,0,2.8,3.6,6.4,0.14,0,0,0,0,0
173,FCR,50,2020-03-30 11:00:00,1.6,2,26.7,289,0,0,8,7,3,3,0,0,3.1,3.4,6.4,0.16,0,0,0,0,0
174,FCR,50,2020-03-30 11:00:00,1.6,1,30.2,275,0,0,NA,NA,NA,0,0,0,NA,NA,NA,NA,0,0,0,0,0
175,FCR,50,2020-03-30 11:25:00,3.8,1,27.7,290,0,0,9,7,3,3,0,0,2.2,3.6,5.8,0.17,0,0,0,0,0
176,FCR,50,2020-03-30 11:25:00,3.8,2,NA,NA,0,0,9,6,3,3,0,0,2.7,3.4,6.1,0.15,0,0,0,0,0
177,FCR,50,2020-03-30 11:45:00,5,1,26.3,253,0,0,NA,NA,NA,0,0,0,NA,NA,NA,NA,0,0,0,0,0
