"","Reservoir","Site","DateTime","Depth_m","Rep","RunDate","NH4_ugL","PO4_ugL","NO3NO2_ugL","Notes_lachat","SampleID_lachat","Flag_NH4","Flag_PO4","Flag_NO3NO2","RunDate_DOC","DOC_mgL","DIC_mgL","DC_mgL","DN_mgL","Notes_DOC","SampleID_DOC","Flag_DOC","Flag_DIC","Flag_DC","Flag_DN"
"95","FCR","50",2019-05-06,9,"","2019-10-21",159,2.17,31.7,"","",0,0,0,"2019-10-22","2.2","3.6","5.8","0.3","","",0,0,0,0
"96","FCR","100",2019-05-06,0.1,"","2019-10-07",11.1,8.3,44.8,"","",0,0,0,"2019-11-01","4","1.2","5.1","0.2","","",0,0,0,0
"97","FCR","200",2019-05-06,0.1,"","2020-01-07",19.9,10.2,81.7,"","",0,0,0,"2019-11-04","5.6","1.9","7.5","0.2","","",0,0,0,0
"98","FCR","50",2019-05-13,0.1,"","2019-10-21",5.89,4.44,0.724,"","",0,0,3,"2019-10-24","1.9","3.3","5.1","0.1","","",0,0,0,0
"99","FCR","50",2019-05-13,3.8,"","2019-10-07",20.43844252,4.614383373,0,"","",0,0,3,"2020-03-17","0.8","3.5","4.3","0.1","","F 13may19 s 3.8",0,0,0,0
"100","FCR","50",2019-05-13,5,"","2019-10-21",8.16,3.19,1.31,"","",0,0,3,"2019-10-23","2.1","3.2","5.4","0.1","","",0,0,0,0
"101","FCR","50",2019-05-13,6.2,"","2019-10-14",15.5,1.05,7.44,"","",0,3,0,"2020-03-17","0.45","3.45","3.85","0.1","","F 13may19 s 6.2",7,7,7,7
"102","FCR","50",2019-05-13,8,"","2019-10-07",214.9490751,3.687988824,27.23236787,"","",0,0,0,"2019-11-01","4.8","1.1","5.9","0.3","","",0,0,0,0
"103","FCR","50",2019-05-13,9,"","2019-10-21",308,1.43,13.6,"","",0,3,0,"2019-10-22","2.6","3.4","6.05","0.3","","",7,7,7,7
"104","FCR","100",2019-05-13,0.1,"","2019-10-07",8.005298225,9.563783744,27.8921995,"","",0,0,0,"2019-11-04","3.3","1.7","5","0.1","","",0,0,0,0
"105","FCR","200",2019-05-13,0.1,"","2019-10-21",31.2,3.18,38.5,"","",0,0,0,"2019-10-21","2.1","4.6","6.7","0.1","","",0,0,0,0
"106","BVR","50",2019-05-16,0.1,"","2019-10-21",6.04,1.26,0.246,"","",0,3,3,"2019-10-21","2.5","3","5.5","0.2","","",0,0,0,0
"107","BVR","50",2019-05-16,3,"","2020-01-07",4.56,8.03,4.99,"","",0,0,0,"2020-03-23","2.4","2.2","4.6","0.2","","B 16may19 s 3",0,0,0,0
"108","BVR","50",2019-05-16,6,"","2019-10-21",9.29,5.87,2.24,"","",0,0,3,"2019-10-21","3.2","2.6","5.8","0.2","","",0,0,0,0
"109","BVR","50",2019-05-16,9,"","2020-01-07",173,3.66,11.6,"","",0,0,0,"2019-10-23","2.7","2.9","5.6","0.3","","",0,0,0,0
"110","BVR","50",2019-05-16,10,"","2020-01-07",390,3.59,4.87,"","",0,0,0,"2019-10-24","2.4","3.5","5.9","0.5","","",0,0,0,0
"111","FCR","50",2019-05-20,0.1,"","2019-10-21",10.9,0,1.51,"","",0,3,3,"2019-10-23","2.6","3.1","5.7","0.1","","",0,0,0,0
"112","FCR","50",2019-05-20,3.8,"","2019-10-21",26,3.72,2.91,"","",0,0,3,"2019-10-24","2.2","2.8","5","0.1","","",0,0,0,0
"113","FCR","50",2019-05-20,5,"","2019-10-21",10.6,2.11,2.13,"","",0,0,3,"2019-10-22","2.2","3.2","5.4","0.1","","",0,0,0,0
"114","FCR","50",2019-05-20,6.2,"","2019-10-07",15.8912961,4.221950207,2.058200059,"","",0,0,3,"2020-03-18","1.4","2.2","3.6","0.1","","F 20may19 s 6.2",0,0,0,0
"115","FCR","50",2019-05-20,8,"","2019-10-21",53,1.84,13.2,"","",0,0,0,"2019-11-04","4.4","1.9","6.3","0.2","","",0,0,0,0
"116","FCR","50",2019-05-20,9,"","2020-03-18",60.8,2.94,15.3,"","F 20may19 s 9",0,0,0,"2019-10-24","1.7","3.4","5.1","0.2","","",0,0,0,0
