ICP-MS Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23-Sep,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nick/Cissy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7Li (STDR),23Na (STDR),24Mg (STDR),27Al (STDR),29Si (STDR),31P (STDR),34S (STDR),35Cl (STDR),39K (STDR),44Ca (STDR),47Ti (STDR),51V (STDR),52Cr (STDR),54Fe (STDR),55Mn (STDR),59Co (STDR),60Ni (STDR),65Cu (STDR),66Zn (STDR),75As (STDR),78Se (STDR),88Sr (STDR),95Mo (STDR),107Ag (STDR),111Cd (STDR),120Sn (STDR),138Ba (STDR),208Pb (STDR),238U (STDR)
,Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppm),Y (ppm),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08/09/2021 - 20,0.2,"2,392.6",746.0,13.7,"6,797.7",-0.9,-0.6,0.2,"1,344.9","1,457.7",0.4,0.0,0.0,250.8,0.6,0.0,-0.1,0.4,2.3,0.1,0.4,10.0,-0.1,0.0,0.0,-0.7,16.2,0.2,0.0
08/09/2021 - 21,0.2,"2,350.2",770.3,16.9,"6,687.5",10.2,-0.5,0.2,"1,359.2","1,530.8",0.6,0.0,0.1,527.7,30.5,0.1,0.0,0.1,1.7,0.1,0.4,10.5,-0.1,0.0,0.0,-0.7,20.6,0.2,0.0
08/09/2021 - 22,0.2,"2,372.1",766.4,11.7,"6,652.4",0.1,0.0,22.6,"28,242.0","1,520.6",0.5,0.1,0.0,154.6,2.1,0.0,0.0,1.8,14.9,0.2,0.5,10.3,0.1,0.0,0.0,-0.4,19.2,0.2,0.0
08/09/2021 - 23,0.2,"2,148.5",789.7,11.9,"6,219.4",18.4,0.0,0.2,"1,319.3","1,847.3",0.5,-0.2,0.0,634.4,852.0,1.0,0.0,0.1,15.4,0.1,-0.1,12.3,0.0,0.0,0.0,-0.6,50.2,0.2,0.0
08/09/2021 - 24,0.2,"2,143.2",784.9,10.5,"6,195.0",-1.0,-0.1,0.2,"1,306.8","1,836.4",0.4,-0.2,0.0,6.0,810.7,0.9,0.0,0.7,11.8,0.0,0.1,12.4,-0.1,0.0,0.0,-0.6,44.1,0.2,0.0
08/09/2021 - 25,0.2,"2,111.4",831.9,14.2,"7,122.9",14.0,-0.7,0.1,"1,402.5","2,099.5",0.5,0.0,0.0,"17,773.9","1,536.0",2.5,0.1,0.1,2.2,0.3,0.3,14.3,0.0,0.0,0.0,-0.6,87.6,0.2,0.0
08/09/2021 - 26,0.3,"2,123.3",832.8,11.5,"7,195.5",0.1,-0.8,1.1,"2,531.7","2,125.7",0.5,-0.1,0.1,"17,771.8","1,536.3",2.4,0.1,0.0,17.8,0.3,0.4,14.5,0.0,0.0,0.0,-0.7,88.2,0.2,0.0
08/09/2021 - 27,0.2,"2,257.3",798.8,15.2,"6,853.6",14.0,-0.6,0.1,"1,360.3","1,797.2",0.5,-0.1,0.1,"7,235.9",710.3,1.1,0.1,0.1,1.1,0.2,0.3,12.1,0.0,0.0,0.0,-0.7,49.2,0.2,0.0
08/09/2021 - 28,0.2,"2,264.1",785.0,12.5,"6,796.8",0.0,-0.3,18.8,"23,780.4","1,764.5",0.4,0.0,0.1,"5,308.7",607.9,0.9,0.0,0.0,12.1,0.2,0.4,12.0,0.0,0.0,0.0,-0.7,44.3,0.2,0.0
08/16/2021 - 1,0.5,"3,384.5","1,144.3",20.2,"6,178.8",11.9,0.2,0.3,"1,203.0","2,535.5",-7.5,0.0,0.1,520.2,14.8,0.1,0.0,1.1,7.5,0.1,0.6,16.4,-0.1,0.0,0.0,-0.7,19.1,0.3,0.0
