Date,Reservoir,Depth_m,AvgSedFlux_gm2d,TLiFlux_gm2d,TNaFlux_gm2d,TMgFlux_gm2d,TAlFlux_gm2d,TKFlux_gm2d,TCaFlux_gm2d,TFeFlux_gm2d,TMnFlux_gm2d,TCuFlux_gm2d,TSrFlux_gm2d,TBaFlux_gm2d,TOCFlux_gm2d,TNFlux_gm2d,Flag_AvgSedFlux_gm2d,Flag_TLiFlux_gm2d,Flag_TNaFlux_gm2d,Flag_TMgFlux_gm2d,Flag_TAlFlux_gm2d,Flag_TKFlux_gm2d,Flag_TCaFlux_gm2d,Flag_TFeFlux_gm2d,Flag_TMnFlux_gm2d,Flag_TCuFlux_gm2d,Flag_TSrFlux_gm2d,Flag_TBaFlux_gm2d,Flag_TOCFlux_gm2d,Flag_TNFlux_gm2d
2021-09-27,FCR,8,8.767290117678991,5.343133835735946e-4,0.007930591759607721,0.0258788215086319,0.096690059500354,0.01125757234077625,0.159059905353987,2.272467150791575,0.014659545655504602,4.0961103970265603e-4,0.0011552667725113152,0.003934155116028485,1.42220371712504,0.615817003295882,1,3,3,3,3,3,3,3,3,3,3,3,1,1
2021-10-11,FCR,4,1.1175296186309718,3.97739660105781e-4,0.005542727798618345,0.0251448472714947,0.07388052672310286,0.004888017357379815,0.1721041076360345,0.06104448915808465,0.00435325586983674,1.239668105249635e-4,0.001136592200709635,8.568243937563155e-4,0.314517696872627,0.160595378731927,1,3,3,3,3,3,3,3,3,3,3,3,1,1
2021-10-11,FCR,8,6.208419906747015,4.985284708743825e-4,0.007657291282865835,0.02629840957089985,0.09053685291533865,0.00803845555996828,0.17762365046022283,1.524024089146475,0.0240177159068202,6.202026583442125e-4,0.0013042459127236214,0.00548060788185401,1.10721919352292,0.486625015350608,1,3,3,3,3,3,3,3,3,3,3,3,1,1
2021-10-12,BVR,5,1.122137558340432,1.7391276559194148e-4,0.00295839975321891,0.00812987881990731,0.053786039144176345,0.002988168634263845,0.049812684782998246,0.07382413143416715,0.00537980917923491,6.59557663688726e-5,3.445083767559055e-4,8.413503402703785e-4,0.218181162513718,0.111590775874157,1,3,3,3,3,3,3,3,3,3,3,3,1,1
2021-10-12,BVR,10,2.233417002792909,3.2968877147842245e-4,0.00444491488333935,0.0130735834483732,0.07028448414559355,0.004178619633062789,0.0863730971850927,0.4551756163417805,0.00306880603272222,5.25739412647757e-5,5.94993156910542e-4,9.211558171686755e-4,0.468639617362297,0.288490517139694,1,3,3,3,3,3,3,3,3,3,3,3,1,1
2021-10-25,FCR,4,0.9514247467723739,3.778667962059635e-4,0.00539589954740482,0.02210651393399335,0.0582752527701276,0.004193549615972755,0.155861665021763,0.106149705275822,0.023441967864844,1.561466802699585e-4,0.001038819663969298,0.00151508851440214,0.260717982391286,0.17222094474533,1,3,3,3,3,3,3,3,3,3,3,3,1,1
2021-10-25,FCR,8,6.235858376729746,2.48840799881165e-4,0.0051084655482413,0.010974590041606185,0.0391105312523324,0.00481049033411838,0.07694708155224445,1.6499226999532821,0.0254127604280727,3.183440794562105e-4,5.93767349179072e-4,0.00451175237674004,1.17714064088149,0.474669820360691,3,3,3,3,3,3,3,3,3,3,3,3,1,1
2021-10-26,BVR,5,1.341906514040558,2.346118871562555e-4,0.0034593040371801503,0.012063138382196716,0.056169270961034454,0.003994191065612265,0.07310333739923261,0.1698350089660475,0.044664780803441745,8.481987869802785e-5,5.299154320341265e-4,0.00255096255768362,0.273410466483044,0.199403456580962,3,3,3,3,3,3,3,3,3,3,3,3,1,1
2021-10-26,BVR,10,2.912278187879893,6.674340727084675e-4,0.008022127408360296,0.03070674543147375,0.11814251076233051,0.007096421955762905,0.215911306201952,0.8988769714433815,0.005484875751377685,1.0483871064366799e-4,0.0014532915506146951,0.0019625146089972453,0.43577202592937,0.238647589515973,1,3,3,3,3,3,3,3,3,3,3,3,1,1
2021-11-08,FCR,4,1.7583500405902324,1.959955841836138e-4,0.004577584844773305,0.011687003415184076,0.05459063634223095,0.00407602524328831,0.0709873740856167,0.229452572122673,0.0721690090589452,3.8206066443329553e-4,4.93423379453111e-4,0.00298643114661446,0.305921720671567,0.228303550230113,1,3,3,3,3,3,3,3,3,3,3,3,1,1
