Reservoir,Site,DateTime,Depth_m,Rep,RunDate_DOC,DOC_mgL,DIC_mgL,DC_mgL,DN_mgL,Notes_DOC,SampleID_DOC,Date NOTES
FCR,200,7/12/21 13:05,0.1,,10/3/21,4.4,3.5,7.9,0.44,,F 12jul21 wet,
FCR,50,9/14/21 10:59,1.6,,10/3/21,3.3,3.9,7.2,0.23,,F 14sep21 1.6,
FCR,50,8/16/21 9:30,0.1,,10/3/21,3.6,3.6,7.3,0.24,,F 16aug21 0.1,
FCR,100,8/16/21 13:49,0.1,,10/3/21,3.3,2.8,6.1,0.18,,F 16aug21 0.1 F100,
FCR,200,8/16/21 14:54,0.1,,10/3/21,5.2,3.8,9,0.3,,F 16aug21 0.1 F200,
FCR,50,8/16/21 10:04,1.6,,10/3/21,4,3.4,7.4,0.32,,F 16aug21 1.6,
FCR,50,8/16/21 10:08,3.8,,10/3/21,2.5,3.7,6.2,0.22,,F 16aug21 3.8,
FCR,50,8/16/21 10:58,8,,10/3/21,1.3,5.1,6.4,0.8,,F 16aug21 8.0,
FCR,50,7/21/21 10:30,0.1,,10/3/21,4.6,3.7,8.3,0.37,,F 21jul21 0.1,
FCR,50,7/21/21 10:54,1.6,,10/3/21,4.4,3.5,7.9,0.28,,F 21jul21 1.6,
FCR,50,7/21/21 11:13,3.8,,10/3/21,2.6,3.6,6.2,0.26,,F 21jul21 3.8,
FCR,50,7/21/21 11:44,6.2,,10/3/21,2.2,4,6.2,0.61,,F 21jul21 6.2,
FCR,50,7/21/21 12:14,9,,10/3/21,2.7,4.4,7.1,1.12,,F 21jul21 9.0,
FCR,50,9/21/21 13:18,0.1,,10/3/21,3.2,3.9,7.1,0.24,,F 21sep21 0.1,
FCR,50,9/21/21 13:22,1.6,,10/3/21,3.1,3.6,6.8,0.21,,F 21sep21 1.6,
