"Reservoir","Site","SN","DateTime","Depth_m","Temp_C","DO_mgL","DOsat_percent","Cond_uScm","SpCond_uScm","Chla_ugL","Turbidity_NTU","pH","ORP_mV","PAR_umolm2s","DescRate_ms","Flag_DateTime","Flag_Temp_C","Flag_DO_mgL","Flag_DOsat_percent","Flag_Cond_uScm","Flag_SpCond_uScm","Flag_Chla_ugL","Flag_Turbidity_NTU","Flag_pH","Flag_ORP_mV","Flag_PAR_umolm2s","Flag_DescRate_ms","Flag_NA"
"FCR",50,7809,2024-02-27 14:21:00,0.871,7.2441,9.1109,74.64,28.19159,43.718,10.9172,7.0978,6.904,290.1108,36.475,0.055,0,0,0,0,0,0,0,0,0,0,0,0,5
"FCR",50,7809,2024-02-27 14:21:00,0.897,7.2354,9.085,74.5,28.20804,43.745,11.0537,7.03,6.904,289.5804,35.671,0.057,0,0,0,0,0,0,0,0,0,0,0,0,5
"FCR",50,7809,2024-02-27 14:21:00,0.913,7.2293,9.0564,74.486,28.082782,43.548,11.0807,7.0948,6.904,289.166,35.34,0.057,0,0,0,0,0,0,0,0,0,0,0,0,5
"FCR",50,7809,2024-02-27 14:21:00,0.922,7.241,9.0304,74.582,28.135959,43.628,11.0857,7.1294,6.903,289.7466,35.02,0.055,0,0,0,0,0,0,0,0,0,0,0,0,5
"FCR",50,7809,2024-02-27 14:21:00,0.93,7.2442,9.0025,74.771,28.153296,43.656,11.1071,7.0722,6.899,291.3522,34.723,0.051,0,0,0,0,0,0,0,0,0,0,0,0,5
"FCR",50,7809,2024-02-27 14:21:00,0.94,7.2363,8.9826,75.091,28.038685,43.474,11.156,7.0524,6.896,292.5752,34.285,0.048,0,0,0,0,0,0,0,0,0,0,0,0,5
"FCR",50,7809,2024-02-27 14:21:00,0.954,7.2423,8.9818,75.547,28.082205,43.538,11.1855,7.0946,6.896,292.8337,33.615,0.049,0,0,0,0,0,0,0,0,0,0,0,0,5
"FCR",50,7809,2024-02-27 14:21:00,0.97,7.2464,8.9949,76.139,28.108645,43.578,11.1894,7.1725,6.895,292.4977,33.136,0.053,0,0,0,0,0,0,0,0,0,0,0,0,5
"FCR",50,7809,2024-02-27 14:21:00,0.982,7.2398,9.0147,76.858,27.977797,43.37,11.1284,7.2439,6.894,292.0409,32.746,0.058,0,0,0,0,0,0,0,0,0,0,0,0,5
"FCR",50,7809,2024-02-27 14:21:00,0.995,7.2465,9.0528,77.665,28.022409,43.439,10.9967,7.2404,6.894,291.784,32.084,0.063,0,0,0,0,0,0,0,0,0,0,0,0,5
"FCR",50,7809,2024-02-27 14:21:00,1.014,7.2509,9.1075,78.608,28.140623,43.628,10.9038,7.197,6.893,291.6285,31.49,0.067,0,0,0,0,0,0,0,0,0,0,0,0,5
"FCR",50,7809,2024-02-27 14:21:00,1.03,7.2458,9.1778,79.783,28.075104,43.524,10.871,7.2325,6.892,291.8824,31.025,0.071,0,0,0,0,0,0,0,0,0,0,0,0,5
"FCR",50,7809,2024-02-27 14:21:00,1.048,7.2551,9.2682,81.223,28.054802,43.494,10.7501,7.3626,6.891,292.2723,30.255,0.076,0,0,0,0,0,0,0,0,0,0,0,0,5
"FCR",50,7809,2024-02-27 14:21:00,1.072,7.2579,9.3611,82.91,28.148881,43.645,10.5151,7.4721,6.889,292.5569,29.536,0.079,0,0,0,0,0,0,0,0,0,0,0,0,5
"FCR",50,7809,2024-02-27 14:21:00,1.092,7.2428,9.4723,84.765,28.197744,43.712,10.3769,7.4972,6.888,293.086,29.029,0.078,0,0,0,0,0,0,0,0,0,0,0,0,5
"FCR",50,7809,2024-02-27 14:21:00,1.112,7.2515,9.6124,86.65,28.201609,43.704,10.3861,7.4951,6.89,293.3346,28.271,0.075,0,0,0,0,0,0,0,0,0,0,0,0,5
"FCR",50,7809,2024-02-27 14:21:00,1.136,7.2546,9.7851,88.463,28.195618,43.693,10.5763,7.4462,6.894,292.0351,27.597,0.069,0,0,0,0,0,0,0,0,0,0,0,0,5
"FCR",50,7809,2024-02-27 14:21:00,1.154,7.2363,9.9962,90.086,28.188735,43.683,10.9033,7.3159,6.896,289.9366,27.283,0.061,0,0,0,0,0,0,0,0,0,0,0,0,5
"FCR",50,7809,2024-02-27 14:21:00,1.165,7.2514,10.2237,91.298,28.181819,43.672,11.061,7.1839,6.897,289.2996,26.938,0.054,0,0,0,0,0,0,0,0,0,0,0,0,5
"FCR",50,7809,2024-02-27 14:21:00,1.177,7.2692,10.4511,92.002,28.17543,43.667,11.0522,7.0809,6.898,289.668,26.607,0.05,0,0,0,0,0,0,0,0,0,0,0,0,5
"FCR",50,7809,2024-02-27 14:21:00,1.187,7.2618,10.672,92.267,28.174901,43.669,11.0876,7.0605,6.898,290.2605,26.462,0.046,0,0,0,0,0,0,0,0,0,0,0,0,5
"FCR",50,7809,2024-02-27 14:21:00,1.194,7.2615,10.883,92.116,28.175416,43.665,11.1643,7.0744,6.898,291.3008,26.136,0.045,0,0,0,0,0,0,0,0,0,0,0,0,5
"FCR",50,7809,2024-02-27 14:21:00,1.208,7.2669,11.0322,91.611,28.181668,43.669,11.2055,7.0438,6.898,290.8897,25.565,0.044,0,0,0,0,0,0,0,0,0,0,0,0,5
"FCR",50,7809,2024-02-27 14:21:00,1.224,7.2597,11.1106,90.931,28.187058,43.673,11.2109,7.0318,6.899,288.8172,25.187,0.043,0,0,0,0,0,0,0,0,0,0,0,0,5
"FCR",50,7809,2024-02-27 14:21:00,1.235,7.2539,11.146,90.174,28.177172,43.653,11.2051,7.0316,6.899,287.8386,24.992,0.042,0,0,0,0,0,0,0,0,0,0,0,0,5
"FCR",50,7809,2024-02-27 14:21:00,1.243,7.2621,11.1257,89.421,28.125568,43.572,11.2937,7.0411,6.9,288.0913,24.738,0.042,0,0,0,0,0,0,0,0,0,0,0,0,5
"FCR",50,7809,2024-02-27 14:21:00,1.252,7.2668,11.0509,88.83,28.070538,43.492,11.4836,7.0445,6.901,288.5171,24.528,0.041,0,0,0,0,0,0,0,0,0,0,0,0,5
"FCR",50,7809,2024-02-27 14:21:00,1.261,7.2663,10.9658,88.39,28.082661,43.512,11.5865,7.004,6.902,289.1151,24.329,0.041,0,0,0,0,0,0,0,0,0,0,0,0,5
"FCR",50,7809,2024-02-27 14:21:00,1.271,7.274,10.8749,88.068,28.081856,43.508,11.5974,7.0291,6.903,289.4711,23.936,0.042,0,0,0,0,0,0,0,0,0,0,0,0,5
"FCR",50,7809,2024-02-27 14:21:00,1.286,7.2757,10.7669,87.926,28.060812,43.478,11.6566,7.2126,6.904,289.5512,23.531,0.043,0,0,0,0,0,0,0,0,0,0,0,0,5
"FCR",50,7809,2024-02-27 14:21:00,1.298,7.2657,10.7053,87.931,28.081934,43.515,11.7621,7.4461,6.904,289.3956,23.301,0.043,0,0,0,0,0,0,0,0,0,0,0,0,5
"FCR",50,7809,2024-02-27 14:21:00,1.308,7.2661,10.6555,87.992,28.083519,43.519,11.8156,7.5292,6.905,288.9668,23.016,0.039,0,0,0,0,0,0,0,0,0,0,0,0,5
"FCR",50,7809,2024-02-27 14:21:00,1.32,7.2729,10.6062,88.06,28.079981,43.516,11.8119,7.4657,6.906,288.7543,22.701,0.032,0,0,0,0,0,0,0,0,0,0,0,0,5
"FCR",50,7809,2024-02-27 14:21:00,1.33,7.2687,10.5952,88.094,28.102587,43.553,11.7923,7.3273,6.907,288.8051,22.58,0.025,0,0,0,0,0,0,0,0,0,0,0,0,5
"FCR",50,7809,2024-02-27 14:21:00,1.334,7.2635,10.601,88.034,28.103128,43.553,11.7781,7.154,6.908,288.893,22.537,0.019,0,0,0,0,0,0,0,0,0,0,0,0,5
"FCR",50,7809,2024-02-27 14:21:00,1.335,7.265,10.61,87.839,28.086526,43.525,11.782,7.0788,6.909,289.7309,22.49,0.017,0,0,0,0,0,0,0,0,0,0,0,0,5
"FCR",50,7809,2024-02-27 14:21:00,1.335,7.2624,10.6194,87.478,28.092135,43.532,11.781,7.0324,6.911,291.1061,22.473,0.018,0,0,0,0,0,0,0,0,0,0,0,0,5
"FCR",50,7809,2024-02-27 14:21:00,1.336,7.2588,10.6284,86.961,28.107518,43.553,11.8246,6.9001,6.911,291.5831,22.429,0.023,0,0,0,0,0,0,0,0,0,0,0,0,5
"FCR",50,7809,2024-02-27 14:21:00,1.341,7.2607,10.6214,86.346,28.082243,43.511,11.9434,6.8126,6.911,291.4541,22.211,0.031,0,0,0,0,0,0,0,0,0,0,0,0,5
