Date,Depth_m,Temp_C,Chla_ugL,Turb_NTU,Cond_uScm,Spec_Cond_uScm,DO_mgL,DO_pSat,pH,ORP_mV,PAR,Salinity,Descent Rate (m/s),Density_mg_m3,Flag
2019-06-28T13:30:41Z,13.036,13.3242,1.1067,0.0058,243.880535,318.108,11.9068,113.853,8.125,265.5567,21.683,0.1511,0.079,999.5143,0
2019-06-28T13:30:41Z,13.061,13.3216,1.1372,0.1067,243.765022,317.985,11.9119,113.897,8.128,265.746,21.551,0.151,0.081,999.5147,0
2019-06-28T13:30:41Z,13.085,13.319,1.1029,0.0347,243.656867,317.858,11.8866,113.651,8.126,265.746,21.393,0.1509,0.084,999.5151,0
2019-06-28T13:30:41Z,13.107,13.3162,1.0609,-0.0807,243.655878,317.881,11.8331,113.137,8.126,265.7838,21.275,0.1509,0.086,999.5156,0
2019-06-28T13:30:41Z,13.13,13.3133,1.08,-0.0807,243.646509,317.902,11.7646,112.478,8.129,265.9731,21.103,0.151,0.088,999.5161,0
2019-06-28T13:30:41Z,13.154,13.3101,1.0724,-0.0086,243.578721,317.815,11.6952,111.814,8.126,265.4052,20.926,0.1509,0.091,999.5165,0
2019-06-28T13:30:41Z,13.173,13.307,0.9465,-0.1816,243.620495,317.913,11.6253,111.144,8.13,265.2538,20.809,0.151,0.092,999.517,0
2019-06-28T13:30:41Z,13.195,13.3042,0.9465,-0.1095,243.624473,317.939,11.5673,110.594,8.127,265.5188,20.667,0.151,0.091,999.5175,0
2019-06-28T13:30:41Z,13.218,13.3011,0.9465,-0.1528,243.63366,317.964,11.5052,110.018,8.129,265.7081,20.492,0.151,0.089,999.5179,0
2019-06-28T13:30:41Z,13.235,13.2982,0.9351,-0.2105,243.609074,317.987,11.4649,109.648,8.129,265.8595,20.414,0.151,0.086,999.5185,0
2019-06-28T13:30:41Z,13.247,13.2955,1.0113,-0.2393,243.535327,317.866,11.4385,109.405,8.126,266.1624,20.343,0.1509,0.082,999.5189,0
2019-06-28T13:30:41Z,13.258,13.2933,1.0037,-0.0807,243.605693,318.038,11.4102,109.157,8.127,266.2002,20.278,0.151,0.076,999.5194,0
2019-06-28T13:30:41Z,13.266,13.2918,0.9999,-0.1816,243.64127,318.061,11.3996,109.059,8.129,266.5788,20.243,0.151,0.068,999.5198,0
2019-06-28T13:30:41Z,13.272,13.2906,0.9885,-0.2249,243.640755,318.116,11.405,109.09,8.128,266.3895,20.188,0.151,0.059,999.5201,0
2019-06-28T13:30:41Z,13.281,13.2895,0.9885,0.0202,243.63628,318.091,11.4204,109.215,8.129,266.1624,20.057,0.151,0.051,999.5204,0
2019-06-28T13:30:41Z,13.287,13.2887,1.0266,0.0347,243.616908,318.101,11.4255,109.242,8.127,266.0867,20.015,0.151,0.042,999.5206,0
2019-06-28T13:30:41Z,13.293,13.2881,1.0419,0.0635,243.634931,318.111,11.4353,109.316,8.13,265.8595,19.984,0.151,0.035,999.5208,0
2019-06-28T13:30:41Z,13.301,13.2902,1.0113,0.0923,243.643793,318.154,11.4533,109.47,8.13,266.3517,19.906,0.1511,0.031,999.5209,0
2019-06-28T13:30:41Z,13.308,13.2976,1.0953,-0.0807,243.665759,318.157,11.4395,109.323,8.129,265.8595,19.876,0.1511,0.029,999.521,0
2019-06-28T13:30:41Z,13.319,13.3036,1.0762,-0.1672,243.697411,318.216,11.4561,109.468,8.129,266.3138,19.752,0.1511,0.029,999.5208,0
2019-06-28T13:30:41Z,13.331,13.3081,1.0686,-0.2105,243.664273,318.079,11.4571,109.47,8.13,266.541,19.684,0.151,0.031,999.5198,0
2019-06-28T13:30:41Z,13.346,13.3165,1.0762,-0.2682,243.617162,317.99,11.4437,109.336,8.13,266.806,19.587,0.151,0.034,999.5191,0
2019-06-28T13:30:41Z,13.363,13.3181,0.9541,0.0058,243.726081,318.069,11.415,109.057,8.128,266.4652,19.47,0.151,0.039,999.5187,0
2019-06-28T13:30:41Z,13.381,13.31,0.9274,0.0635,243.858037,318.216,11.371,108.632,8.129,265.746,19.427,0.1511,0.046,999.5176,0
2019-06-28T13:30:41Z,13.397,13.3006,0.9846,0.0923,243.782255,318.055,11.3198,108.138,8.129,265.6702,19.32,0.151,0.052,999.5174,0
2019-06-28T13:30:41Z,13.413,13.2916,0.9541,0.0923,243.640754,317.977,11.2707,107.665,8.128,265.4052,19.223,0.151,0.057,999.5186,0
2019-06-28T13:30:41Z,13.432,13.2833,1.1372,0.0058,243.525194,317.87,11.233,107.3,8.128,266.04880000000003,19.126,0.1509,0.062,999.5198,0
2019-06-28T13:30:41Z,13.449,13.2761,1.1334,0.0635,243.656652,318.129,11.21,107.076,8.127,265.2538,19.051,0.1511,0.065,999.5212,0
2019-06-28T13:30:41Z,13.468,13.2697,1.1411,0.1356,243.806517,318.42,11.2098,107.068,8.13,265.6702,18.972,0.1512,0.067,999.5225,0
