Date,Depth_m,PAR,Chla_ugL
2020-08-19T20:06:54Z,0.642,19.319,1.7366
2020-08-19T20:06:54Z,0.644,19.3,1.7499
2020-08-19T20:06:54Z,0.646,19.273,1.7546
2020-08-19T20:06:54Z,0.648,19.235,1.7448
2020-08-19T20:06:54Z,0.65,19.206,1.7075
2020-08-19T20:06:54Z,0.653,19.181,1.6479
2020-08-19T20:06:54Z,0.656,19.125,1.615
2020-08-19T20:06:54Z,0.658,19.035,1.6048
2020-08-19T20:06:54Z,0.659,18.934,1.5633
2020-08-19T20:06:54Z,0.661,18.842,1.504
2020-08-19T20:06:54Z,0.663,18.757,1.489
2020-08-19T20:06:54Z,0.664,18.679,1.4963
2020-08-19T20:06:54Z,0.667,18.626,1.4872
2020-08-19T20:06:54Z,0.67,18.602,1.4842
2020-08-19T20:06:54Z,0.673,18.598,1.4891
2020-08-19T20:06:54Z,0.677,18.614,1.489
2020-08-19T20:06:54Z,0.68,18.642,1.5013
2020-08-19T20:06:54Z,0.684,18.648,1.5238
2020-08-19T20:06:54Z,0.687,18.631,1.531
2020-08-19T20:06:54Z,0.689,18.597,1.5319
2020-08-19T20:06:54Z,0.692,18.542,1.5445
2020-08-19T20:06:54Z,0.694,18.474,1.6264
2020-08-19T20:06:54Z,0.697,18.41,1.7779
2020-08-19T20:06:54Z,0.699,18.346,1.8693
2020-08-19T20:06:54Z,0.701,18.281,1.8828
2020-08-19T20:06:54Z,0.704,18.241,1.8643
2020-08-19T20:06:54Z,0.707,18.235,1.8279
2020-08-19T20:06:54Z,0.709,18.244,1.8142
2020-08-19T20:06:54Z,0.712,18.242,1.8231
2020-08-19T20:06:54Z,0.714,18.227,1.8016
2020-08-19T20:06:54Z,0.716,18.226,1.7455
2020-08-19T20:06:54Z,0.718,18.223,1.7261
2020-08-19T20:06:54Z,0.72,18.201,1.7486
2020-08-19T20:06:54Z,0.722,18.18,1.7784
2020-08-19T20:06:54Z,0.724,18.154,1.8102
2020-08-19T20:06:54Z,0.726,18.109,1.8181
2020-08-19T20:06:54Z,0.729,18.075,1.8074
2020-08-19T20:06:54Z,0.732,18.051,1.8047
2020-08-19T20:06:54Z,0.737,18.018,1.8044
